Mã CK,CBV,ChipSang
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,37003493642,11315010129
Lợi ích của cổ đông thiểu số,,-57607
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,37003493642,11315067736
19. Lãi cơ bản trên cổ phiếu,,1636
20. Lãi suy giảm trên cổ phiếu71,,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,38992178516,11935079003
2. Điều chỉnh cho các khoản,,
Khấu hao TSCĐ và BĐSĐT02,9309644583,
Các khoản dự phòng03,,69926150
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",77028203,-286648
"Lãi, lỗ từ hoạt động đầu tư05",-15855620798,-11451374251
Chi phí lãi vay06,881563430,
"Lãi, lỗ do thanh lý TSCĐ",,
Thu nhập lãi vay và cổ tức,,
Phân bổ lợi thế thương mại,,
Điều chỉnh cho các khoản khác,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,33404793934,553344254
"Tăng, giảm các khoản phải thu09",-17149823956,-114636384
"Tăng, giảm hàng tồn kho10",-25226362883,1995341
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",36230325423,81664745
"Tăng, giảm chi phí trả trước12",2582547263,30494308
"Tăng, giảm chứng khoán kinh doanh13",,-2005433675
Tiền lãi vay đã trả13,-881563430,
Thuế thu nhập doanh nghiệp đã nộp14,-5436960190,-351060427
Tiền thu khác từ hoạt động kinh doanh15,,
Tiền chi khác từ hoạt động kinh doanh16,,-136600000
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,23522956161,-1940231838
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-3577769307,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",720000000,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-528130000000,-27129465747
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",559097824896,18690962595
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,-19600000000,-1000000000
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",13385259028,13196110487
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,
10. Tiền thu khác từ hoạt động đầu tư,,
11. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,21895314617,3757607335
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,68310465660,
4. Tiền chi trả nợ gốc vay34,-76705407675,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-10888007079,-1727708800
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-19282949094,-1727708800
Lưu chuyển tiền thuần trong kỳ50,26135321684,89666697
Tiền và tương đương tiền đầu kỳ60,65534436905,1406530426
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,23984464,286648
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,91693743053,1496483771
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,
3. Tiền chi trả cho người lao động03,,
4. Tiền chi trả lãi vay04,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,
6. Tiền thu khác từ hoạt động kinh doanh06,,
7. Tiền chi khác cho hoạt động kinh doanh07,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,
8. Tiền thu khác từ hoạt động đầu tư,,
9. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,
4. Tiền chi trả nợ gốc vay34,,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,
Tiền và tương đương tiền đầu kỳ60,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,
Kỳ/năm,,
