Mã CK,CDP,CDR,CEN,CEO,CET,CFM,CFV,CGV,CH5,CHC,CHP,CHS,CI5,CIA,CID,CIG,CII,CIP,CJC,CK8,CKA,CKD,CKG,CKV,CLC,CLH,CLL,CLM,CLW,CLX,CMC,CMD,CMF,CMG,CMI,CMK,CMM,CMN,CMP,CMS,CMT,CMV,CMW,CMX,CNA,CNC,CNG,CNN,CNT
I. Tiền và các khoản tương đương tiền110,21918032395,26436125286,4293347882,993340552048,61749541,3457495575,6542852783,7031243998,19797525926,4483737758,197904693647,209640973123,1330532767,38265229872,270385858,2212863342,1351810461900,258888542,30166901118,365264887,12044409494,397152297265,44914609010,30399687567,32039406447,115702261577,99462233680,179725623186,5842589426,62422203344,1166547699,31617865202,192866320819,781873654099,144389361,2958573559,134489063370,30123850436,67275325755,8437777299,27232399784,32702751498,1460484893,166150844088,4851316790,24232713044,340698322731,88199675750,303136723666
1. Tiền111,21918032395,26436125286,4293347882,101115069038,61749541,3457495575,6542852783,7031243998,15797525926,4483737758,10904693647,78640973123,1330532767,11172663920,270385858,2212863342,335408258888,258888542,30166901118,365264887,4744409494,172152297265,36614609010,29399687567,32039406447,3702261577,39314813680,179725623186,5842589426,20921609495,1166547699,31617865202,124914120819,679652374648,144389361,2958573559,134489063370,30123850436,21275325755,7867777299,27232399784,30702751498,1460484893,166150844088,2251316790,11092291825,39698322731,88199675750,123136723666
2. Các khoản tương đương tiền112,,,,892225483010,,,,,4000000000,,187000000000,131000000000,,27092565952,,,1016402203012,,,,7300000000,225000000000,8300000000,1000000000,,112000000000,60147420000,,,41500593849,,,67952200000,102221279451,,,,,46000000000,570000000,,2000000000,,,2600000000,13140421219,301000000000,,180000000000
II. Đầu tư tài chính ngắn hạn120,,3000000000,,1005707645162,,381323400,125320000000,,,,20000000000,,,89334500000,5500000000,,1008047698384,1280000000,,4400000000,,51300000000,500000000,,,69500000000,185000000000,,138294042200,157700000000,26039851857,,324789455413,1263792705291,,,99090000000,179193850000,33000000000,13285547784,,6404000000,500000000,101740000000,,62566877002,50288000000,12104284932,189500000000
1. Chứng khoán kinh doanh121,,,,,,513936667,,,,,,,,91876401250,,,250324551138,,,,,,,,,,,,,,33830192894,,1737906050,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,-132613267,,,,,,,,-2541901250,,,-61897927638,,,,,,,,,,,,,,-7790341037,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,3000000000,,1005707645162,,,125320000000,,,,20000000000,,,,5500000000,,819621074884,1280000000,,4400000000,,51300000000,500000000,,,69500000000,185000000000,,138294042200,157700000000,,,323051549363,1263792705291,,,99090000000,179193850000,33000000000,13285547784,,6404000000,500000000,101740000000,,62566877002,50288000000,12104284932,189500000000
III. Các khoản phải thu ngắn hạn130,1012314639678,22343990941,7050674021,1401806712424,21771637433,11032018,8422934882,1928815365,109176654761,23469519563,303014947354,192419051827,54013755276,150876224549,5471901859,317377915977,3769489713488,166549584457,110705165045,14636201021,112799261491,384393333480,975561524051,80621733185,345815712275,9608213171,109695529214,410113581724,58874405104,30107181680,21357695462,276886022792,258653043420,1378464527047,8155333706,42640493702,691797047751,29399372455,38631311603,348507722903,295115092180,85080600789,33143671580,769851095022,12840944344,45239037878,639431313508,291268546492,162048724567
1. Phải thu ngắn hạn của khách hàng131,981808523031,10384718576,4110045429,637679224100,254720400,,355493367,1521779178,73378305410,33716164172,301656500147,158327258720,39409049138,13846852991,220873420,17881159406,663416373513,87124182462,99884770799,3308635400,99188084920,334470438727,214030498729,63811152904,338549559575,6383149602,86488134879,232815643708,62402594805,22216515851,7907827600,279385131709,233949448330,1260027121245,11025204891,41768468258,505561337842,21313909087,20744493069,68360677833,272183321711,66691839517,4498926187,569038258858,323809503,43147770480,635599870585,139154702692,227265066026
2. Trả trước cho người bán ngắn hạn132,18251158959,963965047,2938693592,171037320309,1155880000,11032018,268332142,34920000,28576686196,91000000,445223410,448494019,14662160975,2802923300,5467427824,92131533287,484826778378,13274598665,9257482425,795881550,803030994,50469518890,317853473045,5251617131,4676722700,194737996,13608410952,176574399207,3665165918,4686884367,13240450380,22194609537,14252054462,80108417138,12863295794,265482706,146754086076,6894557238,2523345142,2169031772,13954170543,9911835530,,148363454076,489962987,2195530536,1021822883,2498490428,108455348458
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,18000000000,,,,,,,,,107900000000,,,1649233130606,,,2400000000,,11513085472,,,,,,,,,2000000000,,,,2211000000,,,,1500000000,1136000000,,,,,,,,,400000000
6. Phải thu ngắn hạn khác136,48007819080,11315183051,1935000,672081978294,2361037033,,19038572497,862404719,7794738760,86521188,913223797,35225616678,6961374592,28689699187,24062753,230932027164,1242445322744,83296576298,3229024075,10310849366,19684008627,14400621476,528434071976,19067523228,2589430000,3218504573,14396552214,4694986839,2668743092,13507094892,709417482,1226431488,10451540628,87590673234,13336625894,2255167530,39616703833,2322775698,17361560696,320716439107,12634754880,10200972271,30513631545,52584462088,11926312737,603046809,2809620040,169593832467,60680324276
7. Dự phòng phải thu ngắn hạn khó đòi137,-35752861392,-319875733,,-78991810279,,,-11250599751,-490288532,-573075605,-10424165797,,-1582317590,-7018829429,-2363250929,-240462138,-23566803880,-270431891753,-17145772968,-1666112254,-2179165295,-6966394074,-26460331085,-84756519699,-7508560078,,-188179000,-4797568831,-3971448030,-9862098711,-11066146233,-2500000000,-25920149942,,-49261684570,-31280792873,-1648624792,-135080000,-1131869568,-3498087304,-43874425809,-3657154954,-1841354091,-1868886152,-135080000,,-707309947,,-19978479095,-235533325354
8. Tài sản thiếu chờ xử lý139,,,,,,,11136627,,,,,,,,,,,,,,90531024,,,,,,,,,762832803,,,,,,,,,,,,117307562,,,100859117,,,,781311161
IV. Hàng tồn kho140,885384170267,30199150767,91961108241,1375991004679,,,41711399381,4776475085,51079277817,34793610409,4207653751,30527075488,3382298206,5240289646,1018481777,15460328475,2294473840247,71482963008,82676314948,9485254,21135259101,152230653934,3046256530720,38100431555,1391721925552,15134650974,5530675211,673730226787,49671004422,7885804897,62787750039,1917521599,264614993514,264295035094,116740872071,40163875046,1415962326324,42217858946,8008457781,119692855872,100416365493,260787615348,20613495595,1588902235881,6379313743,133596503462,67785196941,181164549353,111910828002
1. Hàng tồn kho141,890906558017,30199150767,91961108241,1375991004679,,,41711399381,5260684766,51079277817,34793610409,4207653751,33713868769,3382298206,5240289646,1018481777,15460328475,2294750070138,71482963008,82676314948,9485254,26308647720,161662936809,3046256530720,38201016861,1391721925552,15134650974,5530675211,686629998290,49671004422,7885804897,65379670039,1917521599,264614993514,264295035094,124720342676,40163875046,1496997831490,42217858946,8008457781,119692855872,100416365493,260805009673,20613495595,1669937741047,6379313743,134189643728,72173924065,181164549353,111910828002
2. Dự phòng giảm giá hàng tồn kho 149,-5522387750,,,,,,,-484209681,,,,-3186793281,,,,,-276229891,,,,-5173388619,-9432282875,,-100585306,,,,-12899771503,,,-2591920000,,,,-7979470605,,-81035505166,,,,,-17394325,,-81035505166,,-593140266,-4388727124,,
V. Tài sản ngắn hạn khác150,14097321119,4796509525,385462425,214408227348,568893014,4838306,162814145,986596381,590711362,9279482242,358689627,10055122746,1426091,1788296026,,8256116538,125343311489,1983715262,4190707934,2738760748,952544639,1007598975,4411134457,909909861,71705051406,77795860,3216446342,4132217757,9679211201,547412388,842782834,18737455,,146691715247,10394748862,59064639,38347447797,90072604,1275850108,14479309608,61875131,442054977,571748504,48736932476,999228694,1071786058,27514404714,2725163684,12985443834
1. Chi phí trả trước ngắn hạn151,1090909101,,24149999,75634263407,7780001,4838306,147073627,2515151,,,358689627,114193249,,1369326224,,8000000,6854805076,20000000,981946579,138117328,30340482,1007598975,612328050,879859658,12578768623,77795860,2617337828,4014775578,6832900000,373270248,64145454,12511358,,92999427705,,59064639,1470803591,42944676,270140752,376857276,25539322,312821487,,1884429442,991228694,356006209,18250718876,734493422,8787747890
2. Thuế GTGT còn được khấu trừ152,13006412018,2760740701,361312426,117273158025,561113013,,,458111707,,9236227722,,,1426091,393998141,,173719759,115638852042,1963715262,3073649824,2600643420,,,1181165579,16600508,59126282783,,599108514,,2846311201,132142140,778637380,,,52397842557,10394748862,,34092304775,47127928,579991165,10922198646,,,571748504,40594396937,,715779849,6522356087,,3409390950
3. Thuế và các khoản khác phải thu của nhà nước153,,2035768824,,21500805916,,,15740518,525969523,590711362,43254520,,9940929497,,24971661,,8074396779,2849654371,,135111531,,922204157,,2617640828,13449695,,,,117442179,,42000000,,6226097,,1294444985,,,2784339431,,425718191,3180253686,36335809,129233490,,6258106097,8000000,,2741329751,1990670262,788304994
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,200960076863,659634564,120399518380,3966329328143,49498867701,16604684445,60923018323,82588341949,49853295168,48035181291,2170763976717,27171829370,16440968435,63021198585,3771162785,639171752951,28122248202723,40595838153,19614310643,61774447617,32759429955,228229371590,932902307284,48929788656,113993727923,102106044354,278806079224,80640012672,307873745192,2141945856546,46850608392,31993250740,862724792001,3897804992095,73365325356,26304145047,906708862215,19319734010,545201423127,55692289479,49702471050,117187312889,270118040507,1041150458012,32199348405,122746022243,240014065336,363344266042,64575477942
I. Các khoản phải thu dài hạn210,650000000,,,9949570694,,,,114000000,,,124615660,,,,,157518743000,2069224088434,,1457582722,,858633000,,,2000000000,,592853832,84750000,2861431000,331760000,1310000000,,580000000,,31752437713,,,1030000000,5000000,3537863606,23397760979,16529529,6156853730,,1030000000,1134630167,,529700000,,3208251251
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,908837368,,,,,,,,,,,,,,,,,,,,,,,23397760979,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537863606,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,13808085726,,,,,,,,,,,,,,,280000000,,,,,,,,,,,,,,,,,200000000
6. Phải thu dài hạn khác216,650000000,,,9949570694,,,,114000000,,,124615660,,,,,157518743000,2054507165340,,1457582722,,858633000,,2591849559,2000000000,,592853832,84750000,2861431000,331760000,1310000000,,300000000,,31937131963,1512959872,,1030000000,5000000,,,16529529,6156853730,,1030000000,1134630167,,529700000,,3208251251
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,-2591849559,,,,,,,,,,,-184694250,-1512959872,,,,,,,,,,,,,,-200000000
II. Tài sản cố định220,164381212491,513604224,1618018380,2158995368700,,2299999984,35724559652,8280362013,49652436168,40755581337,2124167874493,13995999149,3735151556,4650763187,2613304389,95857128503,16263338169250,7816524349,14586983990,3165929896,18685656081,50791803432,297665029135,29732277825,110498801204,89968626892,173120788511,,287544806799,79972454985,6816737792,16615771551,532266461660,2222796323951,64729604950,20545737081,487763586522,16005636167,515692299653,20677746240,49359309919,89089166252,202738317385,524359531018,29517521709,112410436270,210094301554,212436060040,32970554653
1. Tài sản cố định hữu hình221,85707370414,513604224,1618018380,2113290882315,,2299999984,35524004372,1853392983,36012729939,40755581337,2123913304410,13995999149,2706602173,4130735278,2613304389,95857128503,380121560454,7146696973,14586693667,3165929896,18685656081,50791803432,286116161344,21528826575,106875855954,89968626892,98137531503,,285947264674,79307809532,6816737792,9077371551,502032626045,1794944038652,59769813261,20545737081,330567923919,16005636167,514500362425,20581131240,20497256885,53913523752,197857513691,360850127445,29517521709,107117541247,174148258233,210632032267,32970554653
- Nguyên giá222,200228562385,9800650267,3222039273,2596445456621,,2500000000,153624310508,14237670479,77123759392,167868448616,4457601718255,76981471891,28909964385,21895687654,4985588259,118725025142,547753567267,15982359237,123615286459,7456775123,57845406635,388113586954,409761692079,98671669161,861354910542,969818238877,596474519660,15446371617,1036112800192,213940427338,13927013421,24396073922,777852061395,3839595795075,125957672439,113871477241,678168716272,120891562677,1055218452692,168902073363,35154853800,173493237986,465849728858,823894163409,89495304332,264483619990,1211747503109,265001175976,55884433687
- Giá trị hao mòn lũy kế 223,-114521191971,-9287046043,-1604020893,-483154574306,,-200000016,-118100306136,-12384277496,-41111029453,-127112867279,-2333688413845,-62985472742,-26203362212,-17764952376,-2372283870,-22867896639,-167632006813,-8835662264,-109028592792,-4290845227,-39159750554,-337321783522,-123645530735,-77142842586,-754479054588,-879849611985,-498336988157,-15446371617,-750165535518,-134632617806,-7110275629,-15318702371,-275819435350,-2044651756423,-66187859178,-93325740160,-347600792353,-104885926510,-540718090267,-148320942123,-14657596915,-119579714234,-267992215167,-463044035964,-59977782623,-157366078743,-1037599244876,-54369143709,-22913879034
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,1028549383,,,,,,,,,,,,,,,,,,,,,,,,118451074089,,,,,,,118451074089,,,,,
- Nguyên giá225,,,,,,,,,,,,,1148148148,,,,,,,,,,,,,,,,,,,,,,,,139712955716,,,,,,,139712955716,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,-119598765,,,,,,,,,,,,,,,,,,,,,,,,-21261881627,,,,,,,-21261881627,,,,,
3. Tài sản cố định vô hình227,78673842077,,,45704486385,,,200555280,6426969030,13639706229,,254570083,,,520027909,,,15883216608796,669827376,290323,,,,11548867791,8203451250,3622945250,,74983257008,,1597542125,664645453,,7538400000,30233835615,427852285299,4959791689,,38744588514,,1191937228,96615000,28862053034,35175642500,4880803694,45058329484,,5292895023,35946043321,1804027773,
- Nguyên giá228,98336207145,,,71336756244,,,454360000,10328865296,13639706229,,1581964674,,1826790811,1750206676,,675000000,20245943067906,919936601,93333653,,65000000,,16511457392,8203451250,19514449299,1632274438,101601504441,,11005911283,1294990000,,7538400000,50145736787,702458392083,9975000000,1046688000,64688899986,,1974929785,361455000,41580882207,37148966663,5837187683,53435493890,,9427366174,48885726700,3768228180,
- Giá trị hao mòn lũy kế 229,-19662365068,,,-25632269859,,,-253804720,-3901896266,,,-1327394591,,-1826790811,-1230178767,,-675000000,-4362726459110,-250109225,-93043330,,-65000000,,-4962589601,,-15891504049,-1632274438,-26618247433,,-9408369158,-630344547,,,-19911901172,-274606106784,-5015208311,-1046688000,-25944311472,,-782992557,-264840000,-12718829173,-1973324163,-956383989,-8377164406,,-4134471151,-12939683379,-1964200407,
III. Bất động sản đầu tư230,,,,601914683963,,7188158461,11903316000,4457201749,,,,,,,1057255452,,733586384349,,,13599517804,,,280998845713,,,,,65376340352,,674132577518,,9789018288,,,,,,,,,,,,,,,11078218259,130536052388,
- Nguyên giá231,,,,735401626634,,8536767000,31556798566,11769066280,,,,,,,14120505832,,824961738501,,,19788341593,,,280998845713,,,,,134772018652,,1252411929517,,14182634200,,,,,,,,,,,,,,,12439333508,145671344710,
- Giá trị hao mòn lũy kế232,,,,-133486942671,,-1348608539,-19653482566,-7311864531,,,,,,,-13063250380,,-91375354152,,,-6188823789,,,,,,,,-69395678300,,-578279351999,,-4393615912,,,,,,,,,,,,,,,-1361115249,-15135292322,
IV. Tài sản dở dang dài hạn240,315000000,,68381500000,1077553963639,,,3611195971,,,49333333,13090765759,,,886053896,19383000,385774895169,2716021811146,252950947,700372820,43836734451,581615179,4049191918,301747893801,,105194216,,1304512479,112400950,9469702515,320123767226,,2401500000,201710729662,1122107818732,,2284556104,343454325999,3309097843,12724451367,9088280713,,2129502855,8107436344,461221223579,89255000,5394696064,12094477744,2512359368,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,385774895169,,,,,,,,,,,,,,,,,,190000000,,,,,,,,,,461221223579,,,,,
2. Chi phí xây dựng cơ bản dở dang242,315000000,,68381500000,1077553963639,,,3611195971,,,49333333,13090765759,,,886053896,19383000,,2716021811146,252950947,700372820,43836734451,581615179,4049191918,301747893801,,105194216,,1304512479,112400950,9469702515,320123767226,,2401500000,201710729662,1121917818732,,2284556104,343454325999,3309097843,12724451367,9088280713,,2129502855,8107436344,,89255000,5394696064,12094477744,2512359368,
V. Đầu tư tài chính dài hạn250,33856558900,29400000,50400000000,,49000000000,7112686000,,69051010014,200859000,,125000000,,,47102817323,,,1023929220000,14390211000,23354439,,7956213357,159253337143,15464688159,14016590652,3229348753,,85997956139,,8330000,1049405238494,39522880600,1769040000,,97630809901,,,58000000000,,,,,5254163100,,34887221739,,,,8509182257,26453179411
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",4384074177,,50400000000,,,,,53850307322,,,,,,47102817323,,,,12200000000,1774439303,,7956213357,159253337143,15464688159,,6000000000,,85376665745,,,1025837131694,39522880600,,,95630809901,,,,,,,,,,25887221739,,,,4800000000,25065079411
3. Đầu tư góp vốn vào đơn vị khác253,29472484723,29400000,,,49000000000,7112686000,,24236080000,280710000,,,,,3400000000,,1000000000,897617650000,3380000000,,,,,,24188455000,,,2258600000,,8330000,23568106800,3300000000,2888000000,,,,,50000000000,,,,,8499577200,,1000000000,,,,4105000000,2241310000
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,,-9035377308,-79851000,,,,,-3400000000,,-1000000000,-24688430000,-1189789000,-1751084864,,,,,-10171864348,-2770651247,,-1637309606,,,,-3300000000,-1118960000,,,,,,,,,,-3245414100,,,,,,-395817743,-853210000
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,125000000,,,,,,151000000000,,,,,,,,,,,,,,,,,2000000000,,,8000000000,,,,,,,8000000000,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,1757305472,116630340,,117915741147,498867701,3840000,9683946700,685768173,,7230266621,33255720805,13175830221,12705816879,10381564179,81219944,20986279,5316148529544,18136151857,2846016672,1172265466,4677312338,14135039097,37025850476,3180920179,160383750,11544563630,18298072095,12289840370,10519145878,17001818323,510990000,837920901,128747600679,423517601798,8635720406,3473851862,16460949694,,13246808501,2528501547,326631602,14557626952,59272286778,19652481676,1457941529,4940889909,6217367779,9350611989,1943492627
1. Chi phí trả trước dài hạn261,1757305472,116630340,,57978310208,498867701,3840000,9683946700,685768173,,7230266621,16922749859,13175830221,12705816879,10381564179,81219944,20986279,4035509540115,18136151857,2846016672,1172265466,1991276509,14135039097,30444042668,2458226175,160383750,11544563630,18298072095,9709886069,198889119,13487956577,510990000,837920901,128747600679,423192293253,8635720406,3473851862,16460949694,,13246808501,1593845698,318794439,14230564646,59272286778,17965953602,1457941529,4821067376,4346159107,6260148633,1179232128
2. Tài sản thuế thu nhập hoãn lại262,,,,22740490345,,,,,,,,,,,,,409633091738,,,,2686035829,,6581807808,722694004,,,,2579954301,10320256759,3513861746,,,,137955386,,,,,,,7837163,327062306,,1686528074,,,1871208672,3090463356,764260499
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,16332970946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119822533,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,37196940594,,,,,,,,,,,,,871005897691,,,,,,,,,,,,,,,,,187353159,,,,,,934655849,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
