Mã CK,SST,STD
Lợi ích của cổ đông thiểu số,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,35903687062,4578788676
19. Lãi cơ bản trên cổ phiếu,8091,206
20. Lãi suy giảm trên cổ phiếu71,,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,51069183528,7842762078
2. Điều chỉnh cho các khoản,,
Khấu hao TSCĐ và BĐSĐT02,1768285347,19388384052
Các khoản dự phòng03,,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,
"Lãi, lỗ từ hoạt động đầu tư05",-820765652,-11503438990
Chi phí lãi vay06,,2437614911
"Lãi, lỗ do thanh lý TSCĐ",,
Thu nhập lãi vay và cổ tức,,
Phân bổ lợi thế thương mại,,
Điều chỉnh cho các khoản khác,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,52016703223,18165322051
"Tăng, giảm các khoản phải thu09",-20734262986,-6665374700
"Tăng, giảm hàng tồn kho10",8037166052,-2744706112
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",84246074486,16791274601
"Tăng, giảm chi phí trả trước12",19545447617,-240397971
"Tăng, giảm chứng khoán kinh doanh13",,
Tiền lãi vay đã trả13,,-2437614911
Thuế thu nhập doanh nghiệp đã nộp14,-16233064830,-2978753334
Tiền thu khác từ hoạt động kinh doanh15,,
Tiền chi khác từ hoạt động kinh doanh16,-2196082812,-1425952962
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,124681980750,18463796662
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-105136364,-1298260877
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",372727272,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,-365170000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,349340000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",433038380,11254330872
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,
10. Tiền thu khác từ hoạt động đầu tư,,
11. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,700629288,-5873930005
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,300349947420
4. Tiền chi trả nợ gốc vay34,,-272901675835
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-79376277072,-10000000000
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-79376277072,17448271585
Lưu chuyển tiền thuần trong kỳ50,46006332966,30038138242
Tiền và tương đương tiền đầu kỳ60,54955325290,2618136150
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,100961658256,32656274392
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,
3. Tiền chi trả cho người lao động03,,
4. Tiền chi trả lãi vay04,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,
6. Tiền thu khác từ hoạt động kinh doanh06,,
7. Tiền chi khác cho hoạt động kinh doanh07,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,
8. Tiền thu khác từ hoạt động đầu tư,,
9. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,
4. Tiền chi trả nợ gốc vay34,,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,
Tiền và tương đương tiền đầu kỳ60,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,
Kỳ/năm,,
