Mã CK,DuocNamHa
TỔNG CỘNG TÀI SẢN280,959517957762
NGUỒN VỐN,
A. NỢ PHẢI TRẢ300,560761788014
I. Nợ ngắn hạn310,497376317998
1. Phải trả người bán ngắn hạn311,147707383362
2. Người mua trả tiền trước ngắn hạn312,5778375304
3. Thuế và các khoản phải nộp Nhà nước313,3851085761
4. Phải trả người lao động314,22567676048
5. Chi phí phải trả ngắn hạn315,4126966280
6. Phải trả nội bộ ngắn hạn316,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,
8. Doanh thu chưa thực hiện ngắn hạn318,10686161299
9. Phải trả ngắn hạn khác319,34278047583
10. Vay và nợ thuê tài chính ngắn hạn320,252737912259
11. Dự phòng phải trả ngắn hạn321,1478000000
12. Quỹ khen thưởng phúc lợi322,14164710102
13. Quỹ bình ổn giá323,
14. Giao dịch mua bán lại trái phiếu chính phủ324,
II. Nợ dài hạn 330,63385470016
1. Phải trả người bán dài hạn331,
2. Người mua trả tiền trước dài hạn332,
3. Chi phí phải trả dài hạn333,
4. Phải trả nội bộ về vốn kinh doanh334,
5. Phải trả nội bộ dài hạn335,
6. Doanh thu chưa thực hiện dài hạn336,
7. Phải trả dài hạn khác337,1381707743
8. Vay và nợ thuê tài chính dài hạn338,49983330028
9. Trái phiếu chuyển đổi339,
10. Cổ phiếu ưu đãi (Nợ)340,
11. Thuế thu nhập hoãn lại phải trả341,
12. Dự phòng phải trả dài hạn342,
13. Quỹ phát triển khoa học và công nghệ343,12020432245
14. Dự phòng trợ cấp mất việc làm,
B. VỐN CHỦ SỞ HỮU400,398756169748
I. Vốn chủ sở hữu410,398756169748
1. Vốn góp của chủ sở hữu411,52000000000
- Cổ phiếu phổ thông có quyền biểu quyết411a,52000000000
- Cổ phiếu ưu đãi411b,
2. Thặng dư vốn cổ phần412,
3. Quyền chọn chuyển đổi trái phiếu413,
4. Vốn khác của chủ sở hữu414,5200000000
5. Cổ phiếu quỹ (*)415,
6. Chênh lệch đánh giá lại tài sản416,
7. Chênh lệch tỷ giá hối đoái417,
8. Quỹ đầu tư phát triển418,153105345047
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,
10. Quỹ khác thuộc vốn chủ sở hữu420,
11. Lợi nhuận sau thuế chưa phân phối421,188450824701
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,154247883701
- LNST chưa phân phối kỳ này421b,34202941000
12. Nguồn vốn đầu tư XDCB422,
13. Lợi ích cổ đông không kiểm soát429,
14. Quỹ dự phòng tài chính,
II. Nguồn kinh phí và quỹ khác430,
1. Nguồn kinh phí431,
2. Nguồn kinh phí đã hình thành TSCĐ432,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,
TỔNG CỘNG NGUỒN VỐN440,959517957762
KẾT QUẢ KINH DOANHMS,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,1044161090811
2. Các khoản giảm trừ doanh thu02,10807641893
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,1033353448918
4. Giá vốn hàng bán 11,638898704313
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,394454744605
6. Doanh thu hoạt động tài chính21,3234000503
7. Chi phí tài chính 22,23540876205
Trong đó :Chi phí lãi vay23,20006540870
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",
9. Chi phí bán hàng25,228915799670
10. Chi phí quản lý doanh nghiệp26,120121887444
11. Lợi nhuận thuần từ hoạt động kinh doanh30,25110181789
12. Thu nhập khác31,18428443763
13. Chi phí khác32,441860953
14. Lợi nhuận khác40,17986582810
"Phần lãi/lỗ trong công ty liên doanh, liên kết",
15. Tổng lợi nhuận kế toán trước thuế50,43096764599
16. Chi phí thuế TNDN hiện hành51,8914695891
17. Chi phí thuế TNDN hoãn lại52,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,34182068708
Lợi ích của cổ đông thiểu số,-20872292
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,34202941000
19. Lãi cơ bản trên cổ phiếu,6577
20. Lãi suy giảm trên cổ phiếu71,6577
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
1. Lợi nhuận trước thuế01,43096764599
2. Điều chỉnh cho các khoản,
Khấu hao TSCĐ và BĐSĐT02,33948849835
Các khoản dự phòng03,-15945526445
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",3072030366
"Lãi, lỗ từ hoạt động đầu tư05",-3648857361
Chi phí lãi vay06,20006540870
"Lãi, lỗ do thanh lý TSCĐ",
Thu nhập lãi vay và cổ tức,
Phân bổ lợi thế thương mại,
Điều chỉnh cho các khoản khác,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,80529801864
"Tăng, giảm các khoản phải thu09",23153237353
"Tăng, giảm hàng tồn kho10",-30087039583
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",19462626351
"Tăng, giảm chi phí trả trước12",3152539493
"Tăng, giảm chứng khoán kinh doanh13",
Tiền lãi vay đã trả13,-20090392272
Thuế thu nhập doanh nghiệp đã nộp14,-11241082389
Tiền thu khác từ hoạt động kinh doanh15,
Tiền chi khác từ hoạt động kinh doanh16,-414980000
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,64464710817
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-9204897794
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",808636363
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-89500000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",35744988060
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",4252789638
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,
10. Tiền thu khác từ hoạt động đầu tư,
11. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-57898483733
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",-1471971395
3. Tiền thu từ đi vay33,718865623996
4. Tiền chi trả nợ gốc vay34,-719546914706
5. Tiền trả nợ gốc thuê tài chính35,-22950000
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-24442000
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-2200654105
Lưu chuyển tiền thuần trong kỳ50,4365572979
Tiền và tương đương tiền đầu kỳ60,79890720573
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,149944908
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,84406238460
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,
3. Tiền chi trả cho người lao động03,
4. Tiền chi trả lãi vay04,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,
6. Tiền thu khác từ hoạt động kinh doanh06,
7. Tiền chi khác cho hoạt động kinh doanh07,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",
8. Tiền thu khác từ hoạt động đầu tư,
9. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",
3. Tiền thu từ đi vay33,
4. Tiền chi trả nợ gốc vay34,
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,
Tiền và tương đương tiền đầu kỳ60,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,
Kỳ/năm,
