Mã CK,VNM
5. Lợi thế thương mại,1076022097381
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,
TỔNG CỘNG TÀI SẢN280,55049061537061
NGUỒN VỐN,
A. NỢ PHẢI TRẢ300,18874658707398
I. Nợ ngắn hạn310,18459546837640
1. Phải trả người bán ngắn hạn311,3874064349587
2. Người mua trả tiền trước ngắn hạn312,191336029327
3. Thuế và các khoản phải nộp Nhà nước313,1014478141379
4. Phải trả người lao động314,307904216360
5. Chi phí phải trả ngắn hạn315,2115775261996
6. Phải trả nội bộ ngắn hạn316,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,
8. Doanh thu chưa thực hiện ngắn hạn318,263912732
9. Phải trả ngắn hạn khác319,1148532208981
10. Vay và nợ thuê tài chính ngắn hạn320,9115435107250
11. Dự phòng phải trả ngắn hạn321,11775786301
12. Quỹ khen thưởng phúc lợi322,679981823727
13. Quỹ bình ổn giá323,
14. Giao dịch mua bán lại trái phiếu chính phủ324,
II. Nợ dài hạn 330,415111869758
1. Phải trả người bán dài hạn331,
2. Người mua trả tiền trước dài hạn332,
3. Chi phí phải trả dài hạn333,
4. Phải trả nội bộ về vốn kinh doanh334,
5. Phải trả nội bộ dài hạn335,
6. Doanh thu chưa thực hiện dài hạn336,
7. Phải trả dài hạn khác337,722927552
8. Vay và nợ thuê tài chính dài hạn338,157903902450
9. Trái phiếu chuyển đổi339,
10. Cổ phiếu ưu đãi (Nợ)340,
11. Thuế thu nhập hoãn lại phải trả341,256485039756
12. Dự phòng phải trả dài hạn342,
13. Quỹ phát triển khoa học và công nghệ343,
14. Dự phòng trợ cấp mất việc làm,
B. VỐN CHỦ SỞ HỮU400,36174402829663
I. Vốn chủ sở hữu410,36174402829663
1. Vốn góp của chủ sở hữu411,20899554450000
- Cổ phiếu phổ thông có quyền biểu quyết411a,20899554450000
- Cổ phiếu ưu đãi411b,
2. Thặng dư vốn cổ phần412,34110709700
3. Quyền chọn chuyển đổi trái phiếu413,
4. Vốn khác của chủ sở hữu414,499080803215
5. Cổ phiếu quỹ (*)415,
6. Chênh lệch đánh giá lại tài sản416,
7. Chênh lệch tỷ giá hối đoái417,295734210956
8. Quỹ đầu tư phát triển418,7079114621362
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,
10. Quỹ khác thuộc vốn chủ sở hữu420,
11. Lợi nhuận sau thuế chưa phân phối421,3471224745772
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,349300113785
- LNST chưa phân phối kỳ này421b,3121924631987
12. Nguồn vốn đầu tư XDCB422,
13. Lợi ích cổ đông không kiểm soát429,3895583288658
14. Quỹ dự phòng tài chính,
II. Nguồn kinh phí và quỹ khác430,
1. Nguồn kinh phí431,
2. Nguồn kinh phí đã hình thành TSCĐ432,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,
TỔNG CỘNG NGUỒN VỐN440,55049061537061
KẾT QUẢ KINH DOANHMS,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,61823889921880
2. Các khoản giảm trừ doanh thu02,41280393435
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,61782609528445
4. Giá vốn hàng bán 11,36192433205321
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,25590176323124
6. Doanh thu hoạt động tài chính21,1585660836067
7. Chi phí tài chính 22,428238548859
Trong đó :Chi phí lãi vay23,279424561295
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",32002663848
9. Chi phí bán hàng25,13357706796806
10. Chi phí quản lý doanh nghiệp26,1827916838987
11. Lợi nhuận thuần từ hoạt động kinh doanh30,11593977638387
12. Thu nhập khác31,230631678594
13. Chi phí khác32,224955575646
14. Lợi nhuận khác40,5676102948
"Phần lãi/lỗ trong công ty liên doanh, liên kết",
15. Tổng lợi nhuận kế toán trước thuế50,11599653741335
16. Chi phí thuế TNDN hiện hành51,2240859169951
17. Chi phí thuế TNDN hoãn lại52,-94098418564
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,9452892989948
Lợi ích của cổ đông thiểu số,60582633698
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,9392310356250
19. Lãi cơ bản trên cổ phiếu,4022
20. Lãi suy giảm trên cổ phiếu71,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
1. Lợi nhuận trước thuế01,11599653741335
2. Điều chỉnh cho các khoản,
Khấu hao TSCĐ và BĐSĐT02,2095159644941
Các khoản dự phòng03,27455919490
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",-13348631457
"Lãi, lỗ từ hoạt động đầu tư05",-1367485409319
Chi phí lãi vay06,279424561295
"Lãi, lỗ do thanh lý TSCĐ",
Thu nhập lãi vay và cổ tức,
Phân bổ lợi thế thương mại,245905562556
Điều chỉnh cho các khoản khác,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,12866765388841
"Tăng, giảm các khoản phải thu09",332752274996
"Tăng, giảm hàng tồn kho10",-53951137836
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-188120377548
"Tăng, giảm chi phí trả trước12",91247100626
"Tăng, giảm chứng khoán kinh doanh13",
Tiền lãi vay đã trả13,-336687661456
Thuế thu nhập doanh nghiệp đã nộp14,-2127692482916
Tiền thu khác từ hoạt động kinh doanh15,
Tiền chi khác từ hoạt động kinh doanh16,-898375565361
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,9685937539346
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-1741501711051
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",113648911174
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-3620022795913
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,35704764000
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",1473078193247
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,
10. Tiền thu khác từ hoạt động đầu tư,
11. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-3739092638543
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",722407000000
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",
3. Tiền thu từ đi vay33,17420429433188
4. Tiền chi trả nợ gốc vay34,-16624469998466
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-8159626672950
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-6641260238228
Lưu chuyển tiền thuần trong kỳ50,-694415337425
Tiền và tương đương tiền đầu kỳ60,2912027359925
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,8331709575
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,2225943732075
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,
3. Tiền chi trả cho người lao động03,
4. Tiền chi trả lãi vay04,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,
6. Tiền thu khác từ hoạt động kinh doanh06,
7. Tiền chi khác cho hoạt động kinh doanh07,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",
8. Tiền thu khác từ hoạt động đầu tư,
9. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",
3. Tiền thu từ đi vay33,
4. Tiền chi trả nợ gốc vay34,
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,
Tiền và tương đương tiền đầu kỳ60,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,
Kỳ/năm,
