Mã CK,FPC,FTV
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,-18910802538,3225112259
Lợi ích của cổ đông thiểu số,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,-18910802538,3225112259
19. Lãi cơ bản trên cổ phiếu,-573,120
20. Lãi suy giảm trên cổ phiếu71,-573,120
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,-18910802538,5363072680
2. Điều chỉnh cho các khoản,,
Khấu hao TSCĐ và BĐSĐT02,,41570191888
Các khoản dự phòng03,,1384593515
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",10928005200,-5020900222
"Lãi, lỗ từ hoạt động đầu tư05",-200223803,-1022640343
Chi phí lãi vay06,8572410358,28199533379
"Lãi, lỗ do thanh lý TSCĐ",,
Thu nhập lãi vay và cổ tức,,
Phân bổ lợi thế thương mại,,
Điều chỉnh cho các khoản khác,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,389389217,70473850897
"Tăng, giảm các khoản phải thu09",273470009,72824566841
"Tăng, giảm hàng tồn kho10",,14423223906
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-92799334,10010140904
"Tăng, giảm chi phí trả trước12",-247185218,738046228
"Tăng, giảm chứng khoán kinh doanh13",,
Tiền lãi vay đã trả13,,-34146497969
Thuế thu nhập doanh nghiệp đã nộp14,,-4679111306
Tiền thu khác từ hoạt động kinh doanh15,,
Tiền chi khác từ hoạt động kinh doanh16,,-28895871
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,322874674,129615323630
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,-998389928
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,1330010011
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",200223803,480039972
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,
10. Tiền thu khác từ hoạt động đầu tư,,
11. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,200223803,811660055
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,477752056335
4. Tiền chi trả nợ gốc vay34,,-639255977352
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,-161503921017
Lưu chuyển tiền thuần trong kỳ50,523098477,-31076937332
Tiền và tương đương tiền đầu kỳ60,2232220782,41374365926
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,1169323,661739075
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,2756488582,10959167669
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,
3. Tiền chi trả cho người lao động03,,
4. Tiền chi trả lãi vay04,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,
6. Tiền thu khác từ hoạt động kinh doanh06,,
7. Tiền chi khác cho hoạt động kinh doanh07,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,
8. Tiền thu khác từ hoạt động đầu tư,,
9. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,
4. Tiền chi trả nợ gốc vay34,,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,
Tiền và tương đương tiền đầu kỳ60,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,
Kỳ/năm,,
