Mã CK,SZE,SZG,SZL,TA6,TA9,TAB,TAL,TAN,TAR,TAW,TB8,TBC,TBD,TBR,TBW,TBX,TCD,TCH,TCJ,TCK,TCL,TCM,TCO,TCR,TCT,TCW,TDB,TDC,TDF,TDG,TDH,TDM,TDP,TDS,TDT,TDW,TED,TEG,TEL,TET,TFC,TGG,TGP,TH1,THB,THD
I. Tiền và các khoản tương đương tiền110,49210209418,648255427367,51311807978,67828842946,226385365832,4864700301,459707110301,1129418479,1625857203,52508634112,1028184648,94333448278,8510613197,2137990572,60214432563,2706569564,79267867709,1268134021383,352428293,9995041321,55519125648,563280117447,29110332812,39729999107,2232463859,80797575111,9908126950,14502234992,9890781731,50774077928,51933094449,263928635098,626000501793,41071545578,66188652548,69543729955,172888446987,2943829739,4244953888,80157489265,213689358486,6421646938,24165525171,4128301054,44509710192,68290609155
1. Tiền111,49210209418,25255427367,51311807978,67828842946,131385365832,864700301,142316659913,1129418479,1625857203,52508634112,1028184648,21783448278,8510613197,2137990572,10714432563,2706569564,75646033188,249848337834,352428293,9995041321,13519125648,111027117447,29110332812,39729999107,2232463859,45797575111,8908126950,14502234992,9890781731,50774077928,51933094449,38928635098,26000501793,16071545578,66188652548,64543729955,137021238281,2943829739,4244953888,75157489265,187689358486,4221646938,7165525171,4128301054,39509710192,68290609155
2. Các khoản tương đương tiền112,,623000000000,,,95000000000,4000000000,317390450388,,,,,72550000000,,,49500000000,,3621834521,1018285683549,,,42000000000,452253000000,,,,35000000000,1000000000,,,,,225000000000,600000000000,25000000000,,5000000000,35867208706,,,5000000000,26000000000,2200000000,17000000000,,5000000000,
II. Đầu tư tài chính ngắn hạn120,57000000000,349325919999,20000000000,,,,113280000000,,,30000000000,,21994543500,10108000000,62300000000,55200000000,,2481655840,2470152556309,,2543233624,145102279452,533141312876,61988390833,,11595000000,160500000000,51981000000,,1000000000,38965825600,2396212900,156900000000,411364706849,,,,67848840267,62666915800,,,93753330298,17249622443,16000000000,290762204901,38100000000,
1. Chứng khoán kinh doanh121,,219325919999,,,,,,,,,,13694543500,603000000,,,,451655840,,,,,,,,,,,,,,28733763239,,,,,,,,,,299500000,,,24636399250,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,-495000000,,,,,,,,,,,,,,,,,,-26337550339,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,57000000000,130000000000,20000000000,,,,113280000000,,,30000000000,,8300000000,10000000000,62300000000,55200000000,,2030000000,2470152556309,,2543233624,145102279452,533141312876,61988390833,,11595000000,160500000000,51981000000,,1000000000,38965825600,,156900000000,411364706849,,,,67848840267,62666915800,,,93453830298,17249622443,16000000000,266125805651,38100000000,
III. Các khoản phải thu ngắn hạn130,107908597786,660168203435,78861464889,248394054103,632767077834,15547240599,1402235948481,216633876,1726683728615,26538549375,54147300889,110056183822,816863896596,3375344469,2393594237,7807531281,5111937728916,832362790858,7046424885,258145723753,444458326105,555646903766,894263611991,170481955933,306099246892,186418139117,10256219818,1390143968891,95278553663,220512103011,105990641300,156450098227,718317277833,162079363517,63716497261,18497351851,620905952618,753726046897,58847289820,5117253125,230884366639,31404640077,7293554159,95778674263,72508893904,1634803392404
1. Phải thu ngắn hạn của khách hàng131,106759446395,47200752650,20543577166,126565553786,404761745463,11517404816,596989158894,114235000,80531667821,25612565670,52958419543,101411938598,855094953808,2308694785,293009910,5266193535,369801754831,522478196236,9542322110,223959230117,428124364646,548901139566,664257091366,149725564057,1055794657,178600133085,9242226731,771064372224,97922860251,185478521443,227382827114,24590000,420156852363,164141870178,42534848440,20123555301,567677848602,442284007802,47706220673,668860800,182687361817,25537377971,8957005542,63071156189,56648533851,123690932520
2. Trả trước cho người bán ngắn hạn132,2389050399,599665992013,9131862319,7808602551,11020101766,39390000,362774175596,,1107610204295,135500000,757150000,7225361261,34257606356,211100928,873386001,68760000,3489220418144,272381241064,50000000,23617410603,2399837389,72199869419,223359643052,14560007492,,2355896553,44550000,655816111168,5895894145,33543997346,16702708000,145851672848,207368818651,74310000,1113564590,4118111249,58997523315,101446037677,19022786900,563258000,1023490463,10144436489,1424438598,22779956483,4529033717,3325896083
3. Phải thu nội bộ ngắn hạn133,,,,,91279971392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,8000000000,,141040000000,,,,,,,24535282934,,,,,,420000000,,,,,301000000000,,,,,,,5000000000,74474387000,,99000000,,,116370000000,,,,665000000,,,,1450200000000
6. Phải thu ngắn hạn khác136,2645727023,18328731977,55346843987,114019897766,130797272275,3990445783,313512920002,102398876,546111156499,1038525205,431731346,4537073523,2105023247,3091151854,1347236601,2793890346,1296985927338,56291108970,274365700,187389054148,14846581813,10149902693,6646877573,6196384384,4043452235,12648157229,969443087,22308729053,10475659373,1489584222,69834009431,5573835379,16464588720,610388656,19969084231,817629202,62056208705,93626001418,22389678513,3885134325,47415606558,46595166270,267742622,168406391166,14559123789,57679863801
7. Dự phòng phải thu ngắn hạn khó đòi137,-3885626031,-5027273205,-6160818583,,-13092013062,,-12080306011,,-7569300000,-248041500,,-3118189560,-74593686815,-26770886032,-120038275,-321312600,-44073521494,-18787755412,-2820262925,-179306814909,-912457743,-75604007912,,,,-7186047750,,-59045243554,-19015860106,,-207928903245,,-147368901,-2747205317,,-6561943901,-67825628004,,-30508781266,,-242092199,-51537340653,-3355632603,-158478829575,-3227797453,-93300000
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,,,,,3150097,,,2066843794,,,,,,,,,,,,,,,,,,,237385000,,,,,,,
IV. Hàng tồn kho140,55983642526,115926094552,117313775033,49570195097,839777179273,7819136211,4078812402718,4002085969,258233762424,10852016644,6772969390,5340478768,717226300892,20936233052,8863796481,5655447108,602436040206,8471809032970,176143712,345151099543,13096217340,1002737488623,71876914467,404444891540,9707111131,7801558466,403488449,397694929246,462958040555,193100615136,229300069525,77252978750,1187603937210,148176095180,313521911320,66107925302,336780627090,52671267224,3913449164,2352316392,155235956890,82354224218,104270597806,33289761728,65678081335,
1. Hàng tồn kho141,57476724356,115926094552,117313775033,49570195097,839777179273,7819136211,4078812402718,4002085969,258233762424,11767227519,6772969390,5340478768,717226300892,20936233052,8911796481,5655447108,607888456745,8484652234730,176143712,345686553550,13096217340,1031387905435,71876914467,417087965886,9707111131,7801558466,403488449,397694929246,466336845305,193100615136,395300836008,77252978750,1187603937210,148726984547,313904912129,66352989589,339124005652,52671267224,11229305567,4521947272,158247595593,83076034030,104270597806,33289761728,65678081335,
2. Dự phòng giảm giá hàng tồn kho 149,-1493081830,,,,,,,,,-915210875,,,,,-48000000,,-5452416539,-12843201760,,-535454007,,-28650416812,,-12643074346,,,,,-3378804750,,-166000766483,,,-550889367,-383000809,-245064287,-2343378562,,-7315856403,-2169630880,-3011638703,-721809812,,,,
V. Tài sản ngắn hạn khác150,2763281997,559468359,10189194116,4331244001,102235790720,2450092530,120058322646,8683484,21970608695,4413111306,115026486,3752390944,9321286401,74475518,1529539339,,34204984879,192696247111,646535069,13755568420,5068427155,35231318754,16062670833,27346859339,871507850,13933767811,163064925,10302725291,15001728320,4238920775,10397855561,2926056940,34199603875,5806572082,6186246774,19554633138,4511145137,3187647405,566045103,38888290,2887234675,6540091243,1256967386,4839389059,723244871,10697493565
1. Chi phí trả trước ngắn hạn151,629307730,559468359,6654200870,,2955253486,88227147,17551203663,8683484,359197226,2615397005,115026486,229429205,5229133474,68343449,,,21544233667,38339703255,41425331,164608475,3125709558,4292078749,1142523475,10297423483,294181664,11884210755,133646088,10180966429,1627625069,,88866589,233647463,6059650663,1284550829,1751007923,12140411953,838199965,106956931,,38888290,2877881969,809123005,,312762791,,5835421208
2. Thuế GTGT còn được khấu trừ152,,,3534993246,935149461,70080882389,2361865383,102435631604,,21587043713,,,3459481174,3824125418,,1008977170,,11529113737,122406240136,605109738,11046972791,1942717597,30939240005,14920147358,16781836879,577326186,1998393788,,121758862,10527394033,4238920775,9759463103,2472846870,28139953212,4522021253,3748020811,7414221185,,3080690474,322025258,,,2789413637,1256967386,4113468998,,4862072357
3. Thuế và các khoản khác phải thu của nhà nước153,2133974267,,,3396094540,29199654845,,71487379,,24367756,1797714301,,63480565,268027509,6132069,520562169,,1131637475,31950303720,,2543987154,,,,267598977,,51163268,29418837,,2846709218,,549525869,219562607,,,687218040,,3672945172,,244019845,,9352706,2941554601,,413157270,723244871,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,344676452360,2144840293749,1608239153648,11999136576,152056614996,65734561371,3150044628110,24124966428,605883449361,10739368609,3904493107,1284340123104,331642211987,87228266212,106564438604,8126484768,3435022780094,2071002132087,15328086370,268035524989,447392005771,1205497272905,880025223732,345285556347,12527764077,204046732544,38850196231,2598415089726,997433396696,353565815952,285672177102,2366200693071,966430209820,6311724924,165568563406,390393139539,93595913562,858098893566,3546790039,31308617314,217264913486,156540998252,57049358604,350511360878,58488749476,2745870096901
I. Các khoản phải thu dài hạn210,,,3680592539,3396766670,,,620000816923,,,570000000,,10000000000,237005360,54142705561,848583000,,1652081779313,3889466000,,902308859,17991300000,360845647,511342260,39288746385,,16000000000,,367874887042,313767000,60000000,134411826362,,151979021793,,7768744531,730000000,,30001400000,10000000,,139702693467,1264090892,,99834299996,10000000,92666972038
1. Phải thu dài hạn của khách hàng211,,,,3396766670,,,,,,,,,,1235607616,,,315236163767,,,,,,,,,,,44310727478,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,128100000000,,,,,10000000000,,,,,16000000000,,,,,,,,,,,,80000000,,,,3150000000,,,,,,,,63346720000,,,19734299996,,
6. Phải thu dài hạn khác216,,,3680592539,,,,506191970723,,,570000000,,,237005360,52907097945,848583000,,1320845615546,3889466000,,902308859,17991300000,360845647,511342260,39288746385,,16000000000,,323564159564,233767000,60000000,362139790666,,148829021793,,7768744531,730000000,,30001400000,10000000,,76355973467,1264090892,,80100000000,10000000,92666972038
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,-14291153800,,,,,,,,,,,,,,,,,,,,,,,,-227727964304,,,,,,,,,,,,,,,
II. Tài sản cố định220,227896283605,231386869472,186266712979,3337096772,143676652697,40831991186,853862625852,8708839664,580993686743,6600633243,3871117188,833697956723,316754376965,1695740244,98773196466,900453156,58905389144,354860037144,10121272936,226332653698,247426512763,1024774955329,172576320133,239436914102,10586009791,155712062330,36491650152,108773617583,824009665750,12740612876,213786526,695853408537,442210708401,4384120090,152927908026,332854292760,77241290325,6602223334,3428300752,29992769066,36398884020,95498846533,55524369417,4026734475,46351575773,236458228
1. Tài sản cố định hữu hình221,227773126685,224737766494,186034345979,3337096772,139765577397,32331991186,566415963120,8708839664,481774034130,5573337643,3871117188,818042376668,303171972863,1559021501,98436383874,900453156,36738244267,298101765462,5433271253,203385359381,225303166653,845461517931,144156793987,232823331021,10586009791,141648955350,35612200152,57241510539,824009665750,11239107064,185646534,648512430793,408862155305,4384120090,104258003044,325200309652,73368767798,6602223334,3428300752,29992769066,26301866293,30290903237,52201558425,874934475,41764407677,207463381
- Nguyên giá222,595531521052,336717718593,623584412230,23417084556,259427002379,35027272727,663182339138,23229198800,760284048386,34073365268,52157150871,2608043190980,693886405452,6954076809,464466728817,54883851942,233423379333,371179713128,162077915972,406501169153,904665685355,2119461554781,186861497399,1607598981747,295026108234,770361250328,145978653255,338530692280,1457414567664,25845493202,6065756685,1522643388713,780805492321,310673132246,273212085604,1067480914242,264462202112,10570639369,16700560472,82522527733,95289010693,44671991674,239049459407,3323027787,582505154267,490946091
- Giá trị hao mòn lũy kế 223,-367758394367,-111979952099,-437550066251,-20079987784,-119661424982,-2695281541,-96766376018,-14520359136,-278510014256,-28500027625,-48286033683,-1790000814312,-390714432589,-5395055308,-366030344943,-53983398786,-196685135066,-73077947666,-156644644719,-203115809772,-679362518702,-1274000036850,-42704703412,-1374775650726,-284440098443,-628712294978,-110366453103,-281289181741,-633404901914,-14606386138,-5880110151,-874130957920,-371943337016,-306289012156,-168954082560,-742280604590,-191093434314,-3968416035,-13272259720,-52529758667,-68987144400,-14381088437,-186847900982,-2448093312,-540740746590,-283482710
2. Tài sản cố định thuê tài chính224,,,,,,,,,19922195608,,,,,,,,21741866292,,,,,,,,,,,,,1419999992,,,31592430295,,28813396376,,,,,,9843750274,4650237597,,,,
- Nguyên giá225,,,,,,,,,23716899544,,,,,,,,27423231818,,,,,,,,,,,,,1807272727,,,56078641194,,46988264455,,,,,,11872194798,10333861356,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,-3794703936,,,,,,,,-5681365526,,,,,,,,,,,,,-387272735,,,-24486210899,,-18174868079,,,,,,-2028444524,-5683623759,,,,
3. Tài sản cố định vô hình227,123156920,6649102978,232367000,,3911075300,8500000000,287446662732,,79297457005,1027295600,,15655580055,13582404102,136718743,336812592,,425278585,56758271682,4688001683,22947294317,22123346110,179313437398,28419526146,6613583081,,14063106980,879450000,51532107044,,81505820,28139992,47340977744,1756122801,,19856508606,7653983108,3872522527,,,,253267453,60557705699,3322810992,3151800000,4587168096,28994847
- Nguyên giá228,308750000,9259505000,1324811134,,8455853078,8500000000,300044494417,,89913489381,10144360318,,23192381858,15548950000,175000000,1119997389,33500000,1302995750,61218345890,4688001683,28827587580,28691911391,221294683774,29520084277,11861270752,125000000,32697642875,879450000,92602245137,1000000000,81505820,176900000,59588706493,3918842500,300000000,24337225152,21008540768,20220558303,,125000000,,675970800,61052843193,7668473819,3151800000,8262859922,50310000
- Giá trị hao mòn lũy kế 229,-185593080,-2610402022,-1092444134,,-4544777778,,-12597831685,,-10616032376,-9117064718,,-7536801803,-1966545898,-38281257,-783184797,-33500000,-877717165,-4460074208,,-5880293263,-6568565281,-41981246376,-1100558131,-5247687671,-125000000,-18634535895,,-41070138093,-1000000000,,-148760008,-12247728749,-2162719699,-300000000,-4480716546,-13354557660,-16348035776,,-125000000,,-422703347,-495137494,-4345662827,,-3675691826,-21315153
III. Bất động sản đầu tư230,,1227657470274,497816387986,,,,318855158833,,,,,,,2834287309,,,,1666110955917,,500857746,,2313497165,565914291827,,,,,,74783135570,,117360158720,,,,,,,,,,,,,106554711810,,
- Nguyên giá231,,2021098555062,926346518918,,,,392623837186,,,,,,,8898663957,,,,1900888018533,,1743917180,,2807585760,568735700622,,,,,,100239930974,,158395349422,,,,,,,,,,,,,150100381782,,
- Giá trị hao mòn lũy kế232,,-793441084788,-428530130932,,,,-73768678353,,,,,,,-6064376648,,,,-234777062616,,-1243059434,,-494088595,-2821408795,,,,,,-25456795404,,-41035190702,,,,,,,,,,,,,-43545669972,,
IV. Tài sản dở dang dài hạn240,57557642815,11353640167,315222557853,,,,1191787834095,14083599478,7435158289,,,197737934308,11684848322,3870144548,4071137619,7207341241,444484500,13403050604,,3322693629,3408141075,65949264218,7334256597,64530547371,812220494,51412844,1396800000,2021172750790,70991957086,56636026339,,7478420305,2016683385,1127829192,2178848532,48809847672,,195956881526,,,,,,,1348784248,17917376633
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,3870144548,,,,,,2598766083,,13878890676,,,,,,2006046428587,,,,,,,,,,,,,,,,,,17917376633
2. Chi phí xây dựng cơ bản dở dang242,57557642815,11353640167,315222557853,,,,1191787834095,14083599478,7435158289,,,197737934308,11684848322,,4071137619,7207341241,444484500,13403050604,,723927546,3408141075,52070373542,7334256597,64530547371,812220494,51412844,1396800000,15126322203,70991957086,56636026339,,7478420305,2016683385,1127829192,2178848532,48809847672,,195956881526,,,,,,,1348784248,
V. Đầu tư tài chính dài hạn250,7500000000,,391796400000,,,24882500000,36509630457,,14757594756,,,160405700690,2500000000,24249740000,,,1686126450022,,,24055467532,146340870928,4805136191,1000000000,,,6249834882,,76211721890,,59998091475,25619839264,1662384928737,359784754831,,,,,614326821711,,,33543552439,28637269175,,138766418104,,2532738653217
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,104500000000,,,24882500000,2605939907,,14757594756,,,99895400690,,,,,1568928461044,,,11487105262,119861390928,8335136095,,,,6249834882,,45411721890,,59998091475,1508158320,1532190165656,303784754831,,,,,161924367571,,,33543552439,28637269175,,93266418104,,1800000000000
3. Đầu tư góp vốn vào đơn vị khác253,7500000000,,287296400000,,,,40194600000,,,,,60510300000,2500000000,25929740000,,,19751250000,,,13703269236,26479480000,4943600000,,,,,,30800000000,,,41979856600,196918497495,51000000000,,,,,459648105901,4000000000,,,9795414653,,1200000000,,779489620000
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,-6290909450,,,,,,,-1680000000,,,-2553261022,,,-1134906966,,-8473599904,,,,,,,,,-17868175656,-66723734414,,,,,,-7245651761,-4000000000,,,-9795414653,,-1200000000,,-46750966783
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,,,,,100000000000,,,,,,1000000000,,,,,,,,,,5000000000,,,,,,,,,,,45500000000,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,51722525940,674442313836,213456502291,5265273134,8379962299,20070185,129028561950,1332527286,2697009573,3568735366,33375919,82498531383,465981340,435648550,2871521519,18690371,37464677115,32738622422,5206813434,12921543525,32225181005,107293574355,132689012915,2029348489,1129533792,26033422488,961746079,24382112421,27334871290,224131085262,8066566230,483935492,10439041410,799775642,2693062317,7998999107,16354623237,11211566995,108489287,1315848248,7619783560,31140791652,1524989187,1329196493,10778389455,102310636785
1. Chi phí trả trước dài hạn261,49048186541,674442313836,209672579389,5265273134,8379962299,20070185,68380838294,1332527286,2697009573,3568735366,33375919,2322888320,465981340,305177110,2871521519,18690371,37257055881,23324050657,5206813434,12921543525,32225181005,94769070235,1835291041,2029348489,1129533792,25058267352,290524040,22391452054,27334871290,224131085262,6072592452,483935492,9113518893,799775642,2693062317,7695617792,15908505162,1449698516,108489287,1315848248,5732862229,11651262782,1524989187,1329196493,10062016220,102310636785
2. Tài sản thuế thu nhập hoãn lại262,2674339399,,3783922902,,,,20990610302,,,,,974163276,,130471440,,,207621234,9414571765,,,,12524504120,,,,975155136,,1990660367,,,1993973778,,1325522517,,,303381315,446118075,154386566,,,1886921331,,,,716373235,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,671222039,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,39657113354,,,,,79201479787,,,,,,,,,,,130853721874,,,,,,,,,,,,,,,9607481913,,,,19489528870,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,617542184087,3919075407461,1885915395664,382123472723,1953222028655,96415731012,9324138412256,29481788236,2614397406298,135051680046,65967974520,1519817168416,1893672309073,176052309823,234765801224,24296032721,9265351057644,15306156780718,23549618329,897626191650,1110636381471,3895534414371,1953327144668,987289262266,343033093809,653497773049,111562096373,4411058948146,1581562500965,861157358402,685690050837,3023658462086,3943916237380,363445301281,615181871309,564096779785,1296530925661,1733294600631,71118528014,118974564386,913715160474,300511223171,210036003126,779309691883,280008679778,4459661592025
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,256040132942,3011430271234,1255805327572,346598036054,1788170160002,19765432474,5099922995081,7451544461,1422334243434,66734444450,45562669937,154979014918,1263424086462,10018057971,65501301486,4078372875,5396821424138,1857317831335,61883300577,935834712145,459983241926,1623794701003,1616392102481,622435852009,7382596579,281335344376,19651726813,3201815598414,816992432225,616906911965,615205536894,505444386682,2924012681914,150766695457,335565813087,321688069107,937314087163,255214031041,45849630467,3950304011,526093042205,119406793119,55326050637,745885751982,132430776813,146088388141
