Mã CK,Ricons
TỔNG CỘNG TÀI SẢN280,6834684042131
NGUỒN VỐN,
A. NỢ PHẢI TRẢ300,4241285363670
I. Nợ ngắn hạn310,4237957173020
1. Phải trả người bán ngắn hạn311,2066224891074
2. Người mua trả tiền trước ngắn hạn312,320462080163
3. Thuế và các khoản phải nộp Nhà nước313,24214678353
4. Phải trả người lao động314,
5. Chi phí phải trả ngắn hạn315,1407771497856
6. Phải trả nội bộ ngắn hạn316,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,
8. Doanh thu chưa thực hiện ngắn hạn318,1419486962
9. Phải trả ngắn hạn khác319,2005616562
10. Vay và nợ thuê tài chính ngắn hạn320,249061539560
11. Dự phòng phải trả ngắn hạn321,57372864612
12. Quỹ khen thưởng phúc lợi322,109424517878
13. Quỹ bình ổn giá323,
14. Giao dịch mua bán lại trái phiếu chính phủ324,
II. Nợ dài hạn 330,3328190650
1. Phải trả người bán dài hạn331,
2. Người mua trả tiền trước dài hạn332,
3. Chi phí phải trả dài hạn333,
4. Phải trả nội bộ về vốn kinh doanh334,
5. Phải trả nội bộ dài hạn335,
6. Doanh thu chưa thực hiện dài hạn336,
7. Phải trả dài hạn khác337,3328190650
8. Vay và nợ thuê tài chính dài hạn338,
9. Trái phiếu chuyển đổi339,
10. Cổ phiếu ưu đãi (Nợ)340,
11. Thuế thu nhập hoãn lại phải trả341,
12. Dự phòng phải trả dài hạn342,
13. Quỹ phát triển khoa học và công nghệ343,
14. Dự phòng trợ cấp mất việc làm,
B. VỐN CHỦ SỞ HỮU400,2593398678461
I. Vốn chủ sở hữu410,2593398678461
1. Vốn góp của chủ sở hữu411,396499270000
- Cổ phiếu phổ thông có quyền biểu quyết411a,396499270000
- Cổ phiếu ưu đãi411b,
2. Thặng dư vốn cổ phần412,806560760000
3. Quyền chọn chuyển đổi trái phiếu413,
4. Vốn khác của chủ sở hữu414,
5. Cổ phiếu quỹ (*)415,
6. Chênh lệch đánh giá lại tài sản416,
7. Chênh lệch tỷ giá hối đoái417,
8. Quỹ đầu tư phát triển418,739713472530
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,
10. Quỹ khác thuộc vốn chủ sở hữu420,
11. Lợi nhuận sau thuế chưa phân phối421,642900991133
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,484105903434
- LNST chưa phân phối kỳ này421b,158795087699
12. Nguồn vốn đầu tư XDCB422,
13. Lợi ích cổ đông không kiểm soát429,7724184798
14. Quỹ dự phòng tài chính,
II. Nguồn kinh phí và quỹ khác430,
1. Nguồn kinh phí431,
2. Nguồn kinh phí đã hình thành TSCĐ432,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,
TỔNG CỘNG NGUỒN VỐN440,6834684042131
KẾT QUẢ KINH DOANHMS,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,8011633791725
2. Các khoản giảm trừ doanh thu02,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,8011633791725
4. Giá vốn hàng bán 11,7585481392565
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,426152399160
6. Doanh thu hoạt động tài chính21,193282727033
7. Chi phí tài chính 22,23303716306
Trong đó :Chi phí lãi vay23,23303716306
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",
9. Chi phí bán hàng25,
10. Chi phí quản lý doanh nghiệp26,390379650425
11. Lợi nhuận thuần từ hoạt động kinh doanh30,205751759462
12. Thu nhập khác31,20224197505
13. Chi phí khác32,18197929763
14. Lợi nhuận khác40,2026267742
"Phần lãi/lỗ trong công ty liên doanh, liên kết",
15. Tổng lợi nhuận kế toán trước thuế50,207778027204
16. Chi phí thuế TNDN hiện hành51,83998174562
17. Chi phí thuế TNDN hoãn lại52,-35053900000
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,158833752642
Lợi ích của cổ đông thiểu số,38664943
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,158795087699
19. Lãi cơ bản trên cổ phiếu,3805
20. Lãi suy giảm trên cổ phiếu71,3805
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
1. Lợi nhuận trước thuế01,207778027204
2. Điều chỉnh cho các khoản,
Khấu hao TSCĐ và BĐSĐT02,30293919712
Các khoản dự phòng03,263153593761
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",
"Lãi, lỗ từ hoạt động đầu tư05",-128477981094
Chi phí lãi vay06,23303716306
"Lãi, lỗ do thanh lý TSCĐ",
Thu nhập lãi vay và cổ tức,
Phân bổ lợi thế thương mại,
Điều chỉnh cho các khoản khác,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,396051275889
"Tăng, giảm các khoản phải thu09",706321358033
"Tăng, giảm hàng tồn kho10",325714967008
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-869529027072
"Tăng, giảm chi phí trả trước12",24998903192
"Tăng, giảm chứng khoán kinh doanh13",
Tiền lãi vay đã trả13,-23674453819
Thuế thu nhập doanh nghiệp đã nộp14,-71049968882
Tiền thu khác từ hoạt động kinh doanh15,
Tiền chi khác từ hoạt động kinh doanh16,-1521999992
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,487311054357
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-25478059080
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",204146810771
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",49141357000
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,-306420000000
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,
10. Tiền thu khác từ hoạt động đầu tư,
11. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-78609891309
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",120000000
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",-4223557622
3. Tiền thu từ đi vay33,1462063413090
4. Tiền chi trả nợ gốc vay34,-1822614908694
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-19804984050
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-384460037276
Lưu chuyển tiền thuần trong kỳ50,24241125772
Tiền và tương đương tiền đầu kỳ60,689099499660
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,713340625432
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,
3. Tiền chi trả cho người lao động03,
4. Tiền chi trả lãi vay04,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,
6. Tiền thu khác từ hoạt động kinh doanh06,
7. Tiền chi khác cho hoạt động kinh doanh07,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",
8. Tiền thu khác từ hoạt động đầu tư,
9. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",
3. Tiền thu từ đi vay33,
4. Tiền chi trả nợ gốc vay34,
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,
Tiền và tương đương tiền đầu kỳ60,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,
Kỳ/năm,
