Mã CK,SMVC,SocTrang
16. Chi phí thuế TNDN hiện hành51,5297048578,13607239389
17. Chi phí thuế TNDN hoãn lại52,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,49002566966,492006878703
Lợi ích của cổ đông thiểu số,-8093086,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,49010660052,492006878703
19. Lãi cơ bản trên cổ phiếu,2922,70237
20. Lãi suy giảm trên cổ phiếu71,,70237
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,54299615544,
2. Điều chỉnh cho các khoản,,
Khấu hao TSCĐ và BĐSĐT02,24124532524,
Các khoản dự phòng03,233536632,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",-2374740599,
"Lãi, lỗ từ hoạt động đầu tư05",-5971225660,
Chi phí lãi vay06,,
"Lãi, lỗ do thanh lý TSCĐ",,
Thu nhập lãi vay và cổ tức,,
Phân bổ lợi thế thương mại,,
Điều chỉnh cho các khoản khác,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,70311718441,
"Tăng, giảm các khoản phải thu09",-11531368488,
"Tăng, giảm hàng tồn kho10",-1812444288,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",12050371413,
"Tăng, giảm chi phí trả trước12",-811968059,
"Tăng, giảm chứng khoán kinh doanh13",,
Tiền lãi vay đã trả13,,
Thuế thu nhập doanh nghiệp đã nộp14,-5608003333,
Tiền thu khác từ hoạt động kinh doanh15,,
Tiền chi khác từ hoạt động kinh doanh16,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,62598305686,
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-17574168655,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",637727273,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-140696421766,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",125604877861,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",5666969364,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,
10. Tiền thu khác từ hoạt động đầu tư,,
11. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-26361015923,
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,
4. Tiền chi trả nợ gốc vay34,,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-16773746000,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-16773746000,
Lưu chuyển tiền thuần trong kỳ50,19463543763,
Tiền và tương đương tiền đầu kỳ60,141917101194,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,2378845680,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,163759490637,
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,8136441505344
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,-6831527631199
3. Tiền chi trả cho người lao động03,,-748117133734
4. Tiền chi trả lãi vay04,,-34861929406
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,-8022869436
6. Tiền thu khác từ hoạt động kinh doanh06,,78368542933
7. Tiền chi khác cho hoạt động kinh doanh07,,-25701604116
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,566578880386
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,-195352695242
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,306858700
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,-4393421972603
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,4286200000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,84897933532
8. Tiền thu khác từ hoạt động đầu tư,,
9. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,-217369875613
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,6504957822661
4. Tiền chi trả nợ gốc vay34,,-6055159688929
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,-76408640000
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,373389493732
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,722598498505
Tiền và tương đương tiền đầu kỳ60,,785286183497
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,1507884682002
Kỳ/năm,,
