Mã CK,Habac,HaiChau,HapuIndus
4. Tài sản dài hạn khác268,,,
5. Lợi thế thương mại,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,
TỔNG CỘNG TÀI SẢN280,126993125911,645388353076,159340445578
NGUỒN VỐN,,,
A. NỢ PHẢI TRẢ300,97078655918,416723943908,24004577098
I. Nợ ngắn hạn310,97078655918,325762518540,24004577098
1. Phải trả người bán ngắn hạn311,19623728251,107238379288,5087956192
2. Người mua trả tiền trước ngắn hạn312,6523788325,5517947470,6967475176
3. Thuế và các khoản phải nộp Nhà nước313,5222174337,7294442519,1778421933
4. Phải trả người lao động314,5389423620,26267759238,5908800037
5. Chi phí phải trả ngắn hạn315,1275963524,27777673655,
6. Phải trả nội bộ ngắn hạn316,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,
8. Doanh thu chưa thực hiện ngắn hạn318,,,
9. Phải trả ngắn hạn khác319,10323760826,6370524799,303847446
10. Vay và nợ thuê tài chính ngắn hạn320,48591831754,142808005517,
11. Dự phòng phải trả ngắn hạn321,,,
12. Quỹ khen thưởng phúc lợi322,127985281,2487786054,3958076314
13. Quỹ bình ổn giá323,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,
II. Nợ dài hạn 330,,90961425368,
1. Phải trả người bán dài hạn331,,,
2. Người mua trả tiền trước dài hạn332,,,
3. Chi phí phải trả dài hạn333,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,
5. Phải trả nội bộ dài hạn335,,,
6. Doanh thu chưa thực hiện dài hạn336,,,
7. Phải trả dài hạn khác337,,,
8. Vay và nợ thuê tài chính dài hạn338,,90961425368,
9. Trái phiếu chuyển đổi339,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,
11. Thuế thu nhập hoãn lại phải trả341,,,
12. Dự phòng phải trả dài hạn342,,,
13. Quỹ phát triển khoa học và công nghệ343,,,
14. Dự phòng trợ cấp mất việc làm,,,
B. VỐN CHỦ SỞ HỮU400,29914469993,228664409168,135335868480
I. Vốn chủ sở hữu410,29914469993,228664409168,135335868480
1. Vốn góp của chủ sở hữu411,17122460000,122295340000,58074170000
- Cổ phiếu phổ thông có quyền biểu quyết411a,17122460000,122295340000,58074170000
- Cổ phiếu ưu đãi411b,,,
2. Thặng dư vốn cổ phần412,488663400,25863334000,5791576000
3. Quyền chọn chuyển đổi trái phiếu413,,,
4. Vốn khác của chủ sở hữu414,,3448146918,37392469434
5. Cổ phiếu quỹ (*)415,,,
6. Chênh lệch đánh giá lại tài sản416,,,
7. Chênh lệch tỷ giá hối đoái417,,,
8. Quỹ đầu tư phát triển418,12222944084,61771038257,10287330766
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,
11. Lợi nhuận sau thuế chưa phân phối421,80402509,15286549993,23790322280
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,,,15415512011
- LNST chưa phân phối kỳ này421b,80402509,15286549993,8374810269
12. Nguồn vốn đầu tư XDCB422,,,
13. Lợi ích cổ đông không kiểm soát429,,,
14. Quỹ dự phòng tài chính,,,
II. Nguồn kinh phí và quỹ khác430,,,
1. Nguồn kinh phí431,,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,
TỔNG CỘNG NGUỒN VỐN440,126993125911,645388353076,159340445578
KẾT QUẢ KINH DOANHMS,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,92680237676,782863020166,146506219151
2. Các khoản giảm trừ doanh thu02,,755860749,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,92680237676,782107159417,146506219151
4. Giá vốn hàng bán 11,78986957199,654698453359,123836299631
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,13693280477,127408706058,22669919520
6. Doanh thu hoạt động tài chính21,97307932,395529182,1394275466
7. Chi phí tài chính 22,4865712996,19127370851,24086567
Trong đó :Chi phí lãi vay23,4865712996,18170423163,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,,
9. Chi phí bán hàng25,,59848001613,3676340562
10. Chi phí quản lý doanh nghiệp26,6892724469,29599244845,10184258564
11. Lợi nhuận thuần từ hoạt động kinh doanh30,2032150944,19229617931,10179509293
12. Thu nhập khác31,4254082,250680597,7635
13. Chi phí khác32,1571241286,210797660,3000800
14. Lợi nhuận khác40,-1566987204,39882937,-2993165
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,
15. Tổng lợi nhuận kế toán trước thuế50,465163740,19269500868,10176516128
16. Chi phí thuế TNDN hiện hành51,384761231,3982950875,1801705859
17. Chi phí thuế TNDN hoãn lại52,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,80402509,15286549993,8374810269
Lợi ích của cổ đông thiểu số,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,80402509,15286549993,8374810269
19. Lãi cơ bản trên cổ phiếu,47,1250,1226
20. Lãi suy giảm trên cổ phiếu71,,,1226
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế01,465163740,,
2. Điều chỉnh cho các khoản,,,
Khấu hao TSCĐ và BĐSĐT02,1234314787,,
Các khoản dự phòng03,,,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,,
"Lãi, lỗ từ hoạt động đầu tư05",-97307932,,
Chi phí lãi vay06,4865712996,,
"Lãi, lỗ do thanh lý TSCĐ",,,
Thu nhập lãi vay và cổ tức,,,
Phân bổ lợi thế thương mại,,,
Điều chỉnh cho các khoản khác,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,6467883591,,
"Tăng, giảm các khoản phải thu09",22139810218,,
"Tăng, giảm hàng tồn kho10",7294460855,,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-20075050929,,
"Tăng, giảm chi phí trả trước12",-10251575970,,
"Tăng, giảm chứng khoán kinh doanh13",,,
Tiền lãi vay đã trả13,-4875691072,,
Thuế thu nhập doanh nghiệp đã nộp14,-2813912288,,
Tiền thu khác từ hoạt động kinh doanh15,4024946075,,
Tiền chi khác từ hoạt động kinh doanh16,-1464004820,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,446865660,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-125000000,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-94275187,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",1156840,,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,
10. Tiền thu khác từ hoạt động đầu tư,,,
11. Tiền chi khác cho hoat động đầu tư,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-218118347,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,
3. Tiền thu từ đi vay33,97381390099,,
4. Tiền chi trả nợ gốc vay34,-101344550631,,
5. Tiền trả nợ gốc thuê tài chính35,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",,,
7. Tiền thu khác từ hoạt động tài chính,,,
8. Tiền chi khác cho hoạt động tài chính,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-3963160532,,
Lưu chuyển tiền thuần trong kỳ50,-3734413219,,
Tiền và tương đương tiền đầu kỳ60,5670595846,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,1936182627,,
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,812949515433,160831177013
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,-664001117598,-112540050207
3. Tiền chi trả cho người lao động03,,-58851969488,-20602986854
4. Tiền chi trả lãi vay04,,-11665315046,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,-2007844825,-1354389893
6. Tiền thu khác từ hoạt động kinh doanh06,,22677628359,1822950
7. Tiền chi khác cho hoạt động kinh doanh07,,-44680683612,-5299125975
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,54420213223,21036447034
II. Lưu chuyển tiền từ hoạt động đầu tư,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,-3131636357,-1013062500
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,15000000,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,29075305,325489145
8. Tiền thu khác từ hoạt động đầu tư,,,
9. Tiền chi khác cho hoat động đầu tư,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,-3087561052,-687573355
III. Lưu chuyển tiền từ hoạt động tài chính,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,
3. Tiền thu từ đi vay33,,339601572980,
4. Tiền chi trả nợ gốc vay34,,-388736377944,
5. Tiền trả nợ gốc thuê tài chính35,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,-7303214500,-2903708500
7. Tiền thu khác từ hoạt động tài chính,,,
8. Tiền chi khác cho hoạt động tài chính,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,-56438019464,-2903708500
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,-5105367293,17445165179
Tiền và tương đương tiền đầu kỳ60,,48016038389,29745509849
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,78273338,1061917234
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,42988944434,48252592262
Kỳ/năm,,,
