Mã CK,Vinhhao,Vinphaco
16. Chi phí thuế TNDN hiện hành51,27283088018,38593780622
17. Chi phí thuế TNDN hoãn lại52,-2284978975,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,91603327363,151488764360
Lợi ích của cổ đông thiểu số,-133354,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,91603460717,151488764360
19. Lãi cơ bản trên cổ phiếu,,
20. Lãi suy giảm trên cổ phiếu71,,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,116601436406,190082544982
2. Điều chỉnh cho các khoản,,
Khấu hao TSCĐ và BĐSĐT02,53599199025,28616013998
Các khoản dự phòng03,3084722874,106473876
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,-39559268
"Lãi, lỗ từ hoạt động đầu tư05",-25660200851,-4164868179
Chi phí lãi vay06,1446450988,148367208
"Lãi, lỗ do thanh lý TSCĐ",,
Thu nhập lãi vay và cổ tức,,
Phân bổ lợi thế thương mại,,
Điều chỉnh cho các khoản khác,,3990511870
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,149071608442,218739484487
"Tăng, giảm các khoản phải thu09",23607257579,-32310928179
"Tăng, giảm hàng tồn kho10",-6659648878,-36791557609
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-18024150376,10747490752
"Tăng, giảm chi phí trả trước12",3022182105,-11102112620
"Tăng, giảm chứng khoán kinh doanh13",,
Tiền lãi vay đã trả13,-1416024489,-148367208
Thuế thu nhập doanh nghiệp đã nộp14,-31157574191,-36640300339
Tiền thu khác từ hoạt động kinh doanh15,,2800000000
Tiền chi khác từ hoạt động kinh doanh16,,-1939446058
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,118443650192,113354263226
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-33491873184,-160711407220
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",33843859,37272727
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,-15000000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,-2000000000
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",31837130418,4535800145
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,-9200000000,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,
10. Tiền thu khác từ hoạt động đầu tư,,
11. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-10820898907,-173138334348
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,135714478615,
4. Tiền chi trả nợ gốc vay34,-93188442713,-1565848500
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-189579555000,-3353049710
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-147053519098,-4918898210
Lưu chuyển tiền thuần trong kỳ50,-39430767813,-64702969332
Tiền và tương đương tiền đầu kỳ60,54821039384,242049125095
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,111748649
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,15390271571,177457904412
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,
3. Tiền chi trả cho người lao động03,,
4. Tiền chi trả lãi vay04,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,
6. Tiền thu khác từ hoạt động kinh doanh06,,
7. Tiền chi khác cho hoạt động kinh doanh07,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,
8. Tiền thu khác từ hoạt động đầu tư,,
9. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,
4. Tiền chi trả nợ gốc vay34,,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,
Tiền và tương đương tiền đầu kỳ60,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,
Kỳ/năm,,
