Mã CK,ICF,ICG,ICI,ICN,ICT,IDC,IDI,IDJ,IDP,IDV,IFS,IHK,IJC,ILA,ILB,ILC,ILS,IME,IMP,IN4,INC,ING,INN,IPA,IRC,ISG,ISH,IST,ITA,ITC,ITD,ITQ,ITS,JOS,JVC,KBC,KCB,KCE,KDC,KDH,KDM,KGM,KHD,KHG,KHP,KHS,KHW
I. Tiền và các khoản tương đương tiền110,670863138,36453937250,9198373639,199506918457,429629470696,2188037806317,1711692314347,107511924937,269278444211,57387452252,971024526000,4179714558,79913898794,9901362743,248672167549,17597180854,12330703728,1064556996,161983318837,22109436234,4103065515,813483560,139472576267,65503488551,15394820195,108335161569,8953395095,90088675948,55125576254,40546457375,63045096641,4709353896,45374443856,1166716370,19581608627,6566036174506,8776690906,9261520570,1352673438979,3095618574000,12386188011,22096855325,12927255250,106983017179,112526453409,33006936803,6619633610
1. Tiền111,670863138,2953937250,7198373639,12674498457,179629470696,86290145897,733035314347,36711924937,230374290786,21747452252,271024526000,4179714558,65913898794,9901362743,169672167549,15597180854,11330703728,1064556996,101983318837,559436234,1103065515,813483560,137472576267,60503488551,2394820195,101814676928,6953395095,15088675948,48125576254,40546457375,25273950807,4709353896,30847722787,1166716370,19431608627,532997405834,5776690906,4261520570,1001392180596,988711089000,12386188011,22096855325,11427255250,106983017179,12526453409,33006936803,3524661910
2. Các khoản tương đương tiền112,,33500000000,2000000000,186832420000,250000000000,2101747660420,978657000000,70800000000,38904153425,35640000000,700000000000,,14000000000,,79000000000,2000000000,1000000000,,60000000000,21550000000,3000000000,,2000000000,5000000000,13000000000,6520484641,2000000000,75000000000,7000000000,,37771145834,,14526721069,,150000000,6033038768672,3000000000,5000000000,351281258383,2106907485000,,,1500000000,,100000000000,,3094971700
II. Đầu tư tài chính ngắn hạn120,266198400,783551681,6000000000,295676000000,,2264464142726,1530589595888,91470713538,1581800913954,260993289477,,11000000000,16300000000,9728105832,7400000000,56319560308,5000000,5270000000,142000000000,7100000000,,,100000000000,748159984403,104600000000,1500000000,40000000000,,2000000000,6400000000,31360032014,10000000000,15336575342,,180200000,1857951615950,47080657534,3000000000,174100195885,276869548000,390540000,,8500000000,21143123288,370000000000,,99878796849
1. Chứng khoán kinh doanh121,531000000,,,10676000000,,,,11212500000,,16788177111,,,,,,3854650808,,,,,,,,746360378575,,,,,,,,,,,,1862358461369,,,401120064,,417643008,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,-264801600,,,,,,,-4029377462,,-1364876840,,,,,,-135090500,,,,,,,,-2200394172,,,,,,,,,,,,-6756845419,,,-924179,,-27103008,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,783551681,6000000000,285000000000,,2264464142726,1530589595888,84287591000,1581800913954,245569989206,,11000000000,16300000000,9728105832,7400000000,52600000000,5000000,5270000000,142000000000,7100000000,,,100000000000,4000000000,104600000000,1500000000,40000000000,,2000000000,6400000000,31360032014,10000000000,15336575342,,180200000,2350000000,47080657534,3000000000,173700000000,276869548000,,,8500000000,21143123288,370000000000,,99878796849
III. Các khoản phải thu ngắn hạn130,17972941641,39490978886,105928321484,115301843608,736448974133,1514787301737,2717223495598,1214694493786,1180537779879,158563110572,48441053000,10466793450,636188773465,52953266227,111684379415,9263864270,113903157918,32121146398,383735262487,9474140606,12853825363,34009556958,338927926508,1111908939913,1620605029,27329272427,34062276736,78080395889,2048655630129,373859821530,397080536153,156711937381,1795942821411,4853324290,387304882539,13308852766763,24625879739,2422822554,3351296285371,3018308105000,40555204579,258633275627,13047667709,1456619834453,458640434787,38766747754,45618441215
1. Phải thu ngắn hạn của khách hàng131,7919300433,10270487741,36924426147,50928740158,569304808193,759511368632,1721418706443,275606602880,157783034564,6275440852,35255337000,10981180755,595338741949,41674203598,85724062572,2371383457,96205733869,28952062245,338511953567,44482400,13210425078,30238039512,314289865813,120800340839,,16345677602,33524595131,56275999905,744793108523,157993562777,440397519521,149021839108,280206286235,2193055606,444972468085,670879391809,22860872852,2434814073,393435831419,166189648000,12215674152,258082778045,4457988250,202613227368,429396234753,33158638662,43162649568
2. Trả trước cho người bán ngắn hạn132,122768000,5592132047,7632576648,25531816103,122527699870,86007721342,950951375333,44038238254,99102637373,122667214280,5209448000,47048268,6065421040,5327695684,22122208120,707927792,8482834932,452362845,33963788227,9283670216,298000000,13981354803,22093872874,24434942700,136669685,177449850,532606262,1303887402,395676500775,145348005759,37054814488,7492927538,602391553290,1312796348,309447807995,3500405899524,1130979279,83260620,223026187764,1641598909000,10078000000,704341990,58217460,297975537324,25566684138,3927418279,366202000
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,57059656754,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,310000000000,,564468508905,850000000000,24900000000,,,,1500000000,,,19790000000,,,,,,,895029007515,,,,,11800000000,,60000000,,370728000000,,4700000000,3281260294254,,,1740000000000,,3500000000,,,,,,
6. Phải thu ngắn hạn khác136,9930873208,28323981914,65121260751,40320956149,46649977184,446473687109,101887902212,344500801118,74480357942,4739705440,7978739000,166981677,39371072979,8770406194,5496939849,8123953725,58520085216,2716721308,15025641396,174023070,378069572,14272004275,2544187821,78333043803,1483935344,11429874248,5075343,22384861219,1921092606470,89491084252,7499547449,197170735,561185505912,11765552667,740375576245,5963091549126,1447348517,115652997,1004333192761,1210519548000,14889758279,288002276,10084421499,956031069761,8229317129,1680690813,2243189647
7. Dự phòng phải thu ngắn hạn khó đòi137,,-4695622816,-3749942062,-1479668802,-2033511114,-87262475346,-57034488390,-13919657371,-828250000,-19250000,-2471000,-728417250,-4586462503,-4319039249,-1658831126,-1939400704,-69095496099,,-3766120703,-28035080,-1032669287,-88690734763,,-6776570516,,-623729273,,-1884352637,-1024706585639,-18972831258,-87931345305,,-18568524026,-10418080331,-1112190969786,-106784367950,-813320909,-210905136,-9498926573,,-128227852,-441846684,-1552959500,,-4552103290,,-153600000
8. Tài sản thiếu chờ xử lý139,,,,,,57000000,,,,,,,,,,,,,,,,7149236377,,88175572,,,,,,,,,,,,,,,,,,,,,302057,,
IV. Hàng tồn kho140,131294907721,259998192377,37457005759,282356074327,71397238151,1400599698351,1224667804249,1433393754473,641616525808,129051542,302631326000,9291158645,3682760613520,202466320763,,808905989,3879954137,26830937462,705082185428,2124673202,13648328347,,215206223630,24657301640,18971162183,8110804135,7738928654,,3697836475400,1732364838515,46258138347,205551982578,118540378919,6172115066,152827362496,13849673941868,14032373214,8666238824,1274440222955,22178035895000,3982995183,525106170194,340062224,124917035965,41793740034,160979715357,23619525662
1. Hàng tồn kho141,145618504274,259998192377,37457005759,282356074327,72515049008,1402424334709,1224667804249,1433393754473,644111182895,129051542,303607773000,9291158645,3682760613520,202466320763,,808905989,3879954137,26830937462,708336913258,2124673202,13648328347,,215206223630,24756371325,21159844381,8110804135,7738928654,,3758230053085,1745000932852,65206786026,205551982578,118540378919,6172115066,172126118935,13849673941868,14032373214,8666238824,1276112550361,22178035895000,3982995183,534818676296,340062224,124917035965,41793740034,163218930079,23619525662
2. Dự phòng giảm giá hàng tồn kho 149,-14323596553,,,,-1117810857,-1824636358,,,-2494657087,,-976447000,,,,,,,,-3254727830,,,,,-99069685,-2188682198,,,,-60393577685,-12636094337,-18948647679,,,,-19298756439,,,,-1672327406,,,-9712506102,,,,-2239214722,
V. Tài sản ngắn hạn khác150,75070934,6504371,7749912146,13881955081,7194188677,54166021151,39085697713,13682296841,208452900055,7932911531,2530653000,687476007,82557374722,1126616706,1079608507,2427071120,1633701267,4480970099,16742911413,,,1577736789,2092453815,5446001821,45267304,21174369295,48888889,,4360326623,11946086108,6060736103,21722170633,6374887840,1618349521,2400614828,492876189066,4172585,286281459,146744675607,274709143000,,48063715383,1129642162,16549394354,48161386766,7090609446,
1. Chi phí trả trước ngắn hạn151,,,,9205110436,7194188677,26935920198,2783255167,6743372407,5483275893,439987290,2530653000,225641355,5400815597,74549588,1079608507,231347680,687748019,425900424,15563735181,,,,1134574494,2934940588,43337334,3208650820,,,669300852,2990771648,690653777,430773790,6137317127,,1666605150,63331758024,4172585,286281459,24795512453,192784796000,,1756461002,49592547,6014859094,2960920571,622170317,
2. Thuế GTGT còn được khấu trừ152,75070934,6504371,7660869447,4312945203,,20563711020,36302442546,6938924434,199284770029,7492924241,,55037016,77156559125,994147002,,2122280440,436963,3894349445,1179176232,,,833920491,957879321,2285021510,,17790237658,48888889,,75433455,8955314460,5351405113,21220313636,27269299,1502890630,729067910,347564373138,,,102721121187,78680052000,,46307134381,380033141,9322959640,27448394844,6454151927,
3. Thuế và các khoản khác phải thu của nhà nước153,,,89042699,363899442,,6666389933,,,3684854133,,,406797636,,57920116,,73443000,945516285,160720230,,,,743816298,,226039723,1929970,175480817,,,3560592316,,18677213,71083207,210301414,115458891,4941768,81928892904,,,19228041967,3244295000,,120000,700016474,1211575620,17752071351,14287202,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000000,,,,,,,51165000,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,37647134726,194682474196,17356765513,438195925559,230710269864,11378105535422,2154121101296,1349688942147,3063492800508,1395032027446,151720533000,3637255618,3344949012176,82774234271,1218380783014,3823607145,585905069727,7640160939,1095232988768,33748103242,5881521368,2701500014380,411107875205,6715453117250,62390702481,461941716719,542469859725,355576236789,6823984758654,1823319134639,137440032015,143265758943,316383463206,193866206948,265808003685,8654534222377,25788178896,10898589855,7180280593844,1914178645000,20929789813,182431144099,25184930208,4864973979460,1229289615733,254072613338,438235660176
I. Các khoản phải thu dài hạn210,,,,,1554468691,103355037772,3242979835,790058500768,8972177681,596903457303,929020000,,774179111768,10558000000,2694900000,,36765467642,,1844395565,,,,,19349816245,,2000000,,25631626804,2845015926893,19908157000,1436655200,,,,1517108920,1365556888880,3405280510,55000000,21222201747,69015396000,15001600000,75000000,487184153,4601866329350,1599144600,,
1. Phải thu dài hạn của khách hàng211,,,,,,7871187657,,40667454457,,,,,299565749807,,,,,,,,,,,,,,,,3404769332,8015157000,,,,,,,,,,57219175000,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,10558000000,,,,,,,,,,,,,,,,,,,,,,,,,8479145830,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757160865995,,,,,10000000000,,,,,,
6. Phải thu dài hạn khác216,,,,,1554468691,95483850115,3242979835,749691046311,8972177681,596903457303,929020000,,474613361961,,2694900000,,36765467642,,1844395565,635205303,,,,19349816245,,2000000,,25631626804,2841611157561,14554060000,1436655200,,,,112267108920,608396022885,3405280510,55000000,12743055917,14462010000,5001600000,75000000,487184153,4601866329350,1599144600,,
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,-300000000,,,,,,,,,,,,-635205303,,,,,,,,,,-2661060000,,,,,-110750000000,,,,,-2665789000,,,,,,,
II. Tài sản cố định220,16821924262,43141478114,3447238943,57929376185,128131519684,3069400629177,813705885605,32779136981,852964189632,110133536205,92350179000,3364331278,547621737801,20276820203,740557242482,2549133504,46111988511,6252196645,858811130518,30140440380,5881521368,,246012863559,622280506211,22787323841,441362706822,375221797003,125504196646,155024621372,1108013486271,67795024544,47601930575,3105898613,1200000000,101266116561,408327298161,16204151391,8303863247,2592705595639,73341716000,,122264005102,5011609984,556263875,1103809360455,230208441332,407013504692
1. Tài sản cố định hữu hình221,9746531595,42811478114,364529869,6777730112,47035477167,2957150322033,592312391546,4542084983,850060754439,110133536205,92056914000,3364331278,531904880087,7211820203,740557242482,2549133504,46008675791,6229607758,784591952811,15478739880,3492467368,,246012863559,606467425294,22753636341,432208858622,373014641940,125504196646,137438276841,651206991015,53524948915,41005925375,1890588766,,99947101736,408144202512,15729005391,8303863247,943690798640,73341716000,,122264005102,5011609984,491548723,1102587858972,207387387645,394100162362
- Nguyên giá222,119804626857,61012342920,14023821735,41982460196,191519523209,6433037169590,1386645474494,10357013718,1905965512480,185373752718,338121472000,77592707219,1161409656965,10908532226,1412390148093,2964333855,159149999051,71814468333,1473199483915,42874639276,8468167418,,1203956464106,1195354126541,68175656374,1422828082988,1085194581628,460532137034,276935479589,772523400099,108063809990,144605602028,23240549308,72563247435,572990184114,886965494578,197022684787,50053931921,2222768478323,176066475000,,464335338912,16866431166,4550328026,3905502760748,454042428168,1279146218043
- Giá trị hao mòn lũy kế 223,-110058095262,-18200864806,-13659291866,-35204730084,-144484046042,-3475886847557,-794333082948,-5814928735,-1055904758041,-75240216513,-246064558000,-74228375941,-629504776878,-3696712023,-671832905611,-415200351,-113141323260,-65584860575,-688607531104,-27395899396,-4975700050,,-957943600547,-588886701247,-45422020033,-990619224366,-712179939688,-335027940388,-139497202748,-121316409084,-54538861075,-103599676653,-21349960542,-72563247435,-473043082378,-478821292066,-181293679396,-41750068674,-1279077679683,-102724759000,,-342071333810,-11854821182,-4058779303,-2802914901776,-246655040523,-885046055681
2. Tài sản cố định thuê tài chính224,,,,,,,78068287302,,,,,,,,,,,,,,,,,,,,,,14003605015,,,,,,,,,,,,,,,,,,
- Nguyên giá225,,,,,,,127581557215,,,,,,,,,,,,,,,,,,,,,,18672807630,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,-49513269913,,,,,,,,,,,,,,,,,,,,,,-4669202615,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,7075392667,330000000,3082709074,51151646073,81096042517,112250307144,143325206757,28237051998,2903435193,,293265000,,15716857714,13065000000,,,103312720,22588887,74219177707,14661700500,2389054000,,,15813080917,33687500,9153848200,2207155063,,3582739516,456806495256,14270075629,6596005200,1215309847,1200000000,1319014825,183095649,475146000,,1649014796999,,,,,64715152,1221501483,22821053687,12913342330
- Nguyên giá228,15210878493,330000000,3082709074,51268597454,87623586394,129132966721,175432349051,30146389807,22517498145,,14082575000,150000000,29277951720,13065000000,2872771400,97929100,1127981600,898748500,103683535219,20091960000,4865783400,,,48404572166,45375000,17736123304,4941214087,5451521818,9525651497,476926401645,26496014506,7141646800,1215309847,1710190007,5313999620,634415500,587786000,130000000,2462116638242,339700000,,,,575365500,30689585042,27460093338,28754389400
- Giá trị hao mòn lũy kế 229,-8135485826,,,-116951381,-6527543877,-16882659577,-32107142294,-1909337809,-19614062952,,-13789310000,-150000000,-13561094006,,-2872771400,-97929100,-1024668880,-876159613,-29464357512,-5430259500,-2476729400,,,-32591491249,-11687500,-8582275104,-2734059024,-5451521818,-5942911981,-20119906389,-12225938877,-545641600,,-510190007,-3994984795,-451319851,-112640000,-130000000,-813101841243,-339700000,,,,-510650348,-29468083559,-4639039651,-15841047070
III. Bất động sản đầu tư230,,16091324302,,234773407992,9212427816,2539006371956,244095394432,146869687084,,23695669685,,,514518114492,,,,,,,,,,,11469310853,,,,,322766101513,587123005954,,72690197821,,,,1292284269606,,,1043388764815,233048011000,,,,,,,
- Nguyên giá231,,18342532540,,461249454169,18714920748,6485887917037,323234235576,193165302659,,26246643872,,,540299639700,,,,,,,,,,,17403806849,,,,,624791998038,701861285993,,72810276481,,,,1549022147988,,,1324213814480,252471651000,,,,,,,
- Giá trị hao mòn lũy kế232,,-2251208238,,-226476046177,-9502492932,-3946881545081,-79138841144,-46295615575,,-2550974187,,,-25781525208,,,,,,,,,,,-5934495996,,,,,-302025896525,-114738280039,,-120078660,,,,-256737878382,,,-280825049665,-19423640000,,,,,,,
IV. Tài sản dở dang dài hạn240,,282361620,,49801604441,8414620502,4958749980295,585886940807,,1346927928712,185327516338,16079370000,,642559160164,28520287313,3236194235,,268890667981,,43897009754,,,2701500014380,6865325550,53062104817,19361058527,52556750,1467020202,,3286832185048,2161441909,230200000,19623433805,659685248,,5238875261,731331293581,3109272409,,65015857413,1027797349000,,2153188307,306869388,215065483849,25671785440,,1932114073
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,339348514686,,,,,,,642375160164,,,,,,,,,2701500014380,,,1987928970,,,,3243657376651,,,,,,,,,,,,,,,2115483849,,,
2. Chi phí xây dựng cơ bản dở dang242,,282361620,,49801604441,8414620502,4619401465609,585886940807,,1346927928712,185327516338,16079370000,,184000000,28520287313,3236194235,,268890667981,,43897009754,,,,6865325550,53062104817,17373129557,52556750,1467020202,,43174808397,2161441909,230200000,19623433805,659685248,,5238875261,731331293581,3109272409,,65015857413,1027797349000,,2153188307,306869388,212950000000,25671785440,,1932114073
V. Đầu tư tài chính dài hạn250,20825210464,134165488457,13909526570,90000000000,66374000000,228199535024,248827581111,48502492397,200000000000,313685176021,,,834646279268,,7238210000,,229645157678,,66958582700,2620000000,,,10000000000,5738903790416,20222734420,1920000000,,18847773081,118943434591,61232863733,1662581627,,284778618188,192445000000,140000000000,4817427030823,,,2252854109486,,5900000000,,,,30449610000,2000000000,24000000000
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",14992000000,459997894,10800000000,,,25797718702,,32215213344,,172233649365,,,807646279268,,,,67332039700,,67140582700,,,,,5338953630908,,,,12391312981,,20766363733,1562581627,,279110681828,192445000000,750000000,4394274905745,,,2911737019640,,,,,,4650000000,,24000000000
3. Đầu tư góp vốn vào đơn vị khác253,22219425650,133705490563,4500000000,,66374000000,119271925084,245517581111,24177500000,,143809725560,,,27000000000,,7238210000,,166508675297,,,,,,,941391011200,23750000000,1978500000,,6456460100,131133915000,42566500000,7367100000,,3784000000,,140000000000,424500200000,,,,,5900000000,,,,25799610000,,
4. Dự phòng đầu tư tài chính dài hạn254,-16386215186,,-1390473430,,,-6870108762,,-7890220947,,-2358198904,,,,,,,-4195557319,,-182000000,,,,,-541440851692,-3527265580,-128500000,,,-12190480409,-3100000000,-7367100000,,-216063640,,-750000000,-1348074922,,,-753660362154,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,90000000000,,90000000000,3310000000,,200000000000,,,,,,,,,,,2620000000,,,10000000000,,,70000000,,,,1000000000,100000000,,2100000000,,,,,,94777452000,,,,,,,2000000000,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,,1001821703,,5691536941,17023233171,479393981198,258362319506,331479124917,654628504483,165286671894,42361964000,272924340,31424608683,23419126755,464654236297,1274473641,4491787915,1387964294,123721870231,987662862,,,148229686096,270387588708,19585693,18604453147,165781042520,185592640258,95402489237,44880179772,66315570644,3350196742,27839261157,221206948,17785902943,39607441326,3069474586,2539726608,1205094064744,510976173000,28189813,57938950690,19379266683,47485902386,67759715238,21864172006,5290041411
1. Chi phí trả trước dài hạn261,,1001821703,,3267622754,17023233171,221150579280,8158647309,328127187511,617171122571,165135459785,28425944000,272924340,31424608683,198137331,464431453257,751111819,4168775988,1387964294,123721870231,,,,148229686096,133395037595,,18604453147,165224242371,185592640258,14544665993,33404062416,1966487718,3350196742,27812193877,221206948,16524418246,39607441326,3069474586,2539726608,288442630745,3808390000,28189813,57938950690,14621462336,47485902386,67759715238,21864172006,5290041411
2. Tài sản thuế thu nhập hoãn lại262,,,,2423914187,,180000451957,,,37457381912,151212109,13936020000,,,,222783040,,323011927,,,987662862,,,,86530945469,19585693,,556800149,,,11476117356,79317616,,27067280,,1261484697,,,,79027249291,507167783000,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,12067545436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,34096120971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,32079283554,250203672197,3351937406,,,,,,23220989424,,523361822,,,,,,,,50461605644,,,,,80857823244,,64269765310,,,,,,,,837624184708,,,,4757804347,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
