Mã CK,DVW,DWC,DWS,DXG,DXL,DXP,DXS,DXV,DZM,E12,E29,EBS,ECI,ECO,EFI,EIC,EID,EIN,ELC,EME,EMS,EPC,EPH,EVE,EVG,FBC,FCC,FCM,FCN,FCS,FDC,FGL,FHN,FHS,FIC,FID,FIR,FIT,FMC,FOC,FOX,FPT,FRC
2. Dự phòng giảm giá hàng tồn kho 149,,,,,,,,-728840020,,-2561247,,-1437820078,-2053434556,,,,-14938815669,,,-2229781756,,-964102388,,-53911472037,,-4875834205,,-9802544776,,-1490943562,,-160709332,-5593792546,,-34165731106,,,-11220878841,,,-17126007656,-133467537483,-6115811076
V. Tài sản ngắn hạn khác150,52943999,29811793388,6227714548,310623896167,141974749,380180759,170561376388,651096468,506432639,25280212,10075328388,3125967731,53744796,2585557421,391592847,845062524,4941160987,11735985706,3093186200,108988918,7841366086,1073056386,,14237808158,16481316232,460152156,,5760226265,108771163709,1850484432,10617106208,1822820601,1391733808,3050645000,5664513772,1689821821,2824165011,91862210858,51306346381,2752081985,189866335603,1197007778928,7724293857
1. Chi phí trả trước ngắn hạn151,52943999,,2923402881,125529531185,28749291,380180759,148241195741,180507089,62559384,25280212,136293189,491433180,2225002,332740840,,421530966,4544336527,,308592841,67152154,7841366086,16250000,,3164429740,194911808,218780180,,5635230430,60107671766,286009098,252702330,,57306389,3050645000,3173557766,,260860404,5518412693,21324022201,2752081985,145835516238,479707218558,124964981
2. Thuế GTGT còn được khấu trừ152,,29811793388,,144384995061,,,15506733682,426646740,410035055,,9939035199,2634534551,51519794,2252816581,165184429,,191708867,10217279691,2784424172,41836764,,1056806386,,11073378418,16286404424,28392317,,123213957,34875084363,204601520,9418041736,1717623219,1332667156,,738464716,1689821821,2563304607,85095067945,29982324180,,43921597332,648697117785,7596178876
3. Thuế và các khoản khác phải thu của nhà nước153,,,3304311667,40709369921,113225458,,6813446965,43942639,33838200,,,,,,226408418,14874158,205115593,1518706015,169187,,,,,,,212979659,,1781878,13788407580,1359873814,946362142,105197382,1760263,,1752491290,,,1248730220,,,109222033,68603442585,3150000
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,408657400,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,21997342574,565388107057,887650795162,3050030578129,9996118157,469368901342,792250713793,9231154816,6179266773,4873395879,8896815075,79886499783,3381474647,58388089432,48614373455,316987734620,71183638531,298120692529,805507280307,80102624841,138329137921,44580638501,22125798403,543331520296,630710393804,68340017473,256096505,74094801677,3336343645945,670820621652,716922159098,100852282899,98644088614,72878934162,1338782909809,304693583196,524012761606,2396115491927,1133649464998,50875448204,8510994698205,26464052832167,70018583856
I. Các khoản phải thu dài hạn210,,,,804376257651,,,79136171368,,,,,,,,,,42000000,91964845364,62785789957,1980584636,13158301017,,,2863666309,65962873950,,,2518051950,121193461871,,280005000000,,,30790494048,33840758916,442074926,201311000000,4796500000,,602100000,25896153168,331646166008,
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,101925000,,,,,,,,,,,,,,,13000000000,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,16625000000,,,,,,,,,,,,,,,,,,,,,,,,,99534466986,,,,,,,,,,,,,2509722351,
6. Phải thu dài hạn khác216,,,,787649332651,,,79136171368,,,,,,,,,,42000000,91964845364,49785789957,1980584636,13158301017,,,2863666309,65962873950,,,2518051950,21658994885,,280005000000,,,30790494048,33840758916,442074926,201311000000,4796500000,,602100000,25896153168,381508926294,
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52372482637,
II. Tài sản cố định220,21764332374,544325735307,413859466600,369744124860,3865774424,23292135284,202864473344,8411650150,2179266773,4734525672,4899191362,39400279129,3343856391,17122503291,139573456,23875819603,5922532448,54707271659,100023652514,6858314590,38026639246,35895818097,22046947055,315335836967,934155684,53530222913,252013172,23198641742,1581842338957,646815615589,214950017,95057515570,33282575965,40657222873,238201932052,39443137355,1511350484,663653481221,768061167034,5594740282,5688194234388,14816131186204,23765984175
1. Tài sản cố định hữu hình221,21666355701,541431936500,413255234493,298730468439,3865774424,23023688394,137742580585,8411650150,2179266773,4734525672,4899191362,39400279129,3317884166,17122503291,139573456,4807819603,5922532448,9890836695,83805600580,6858314590,26946642117,35895818097,22046947055,313979656197,934155684,51925423604,252013172,18853757451,1373431636979,78515176426,214950017,94954172037,17218152976,30849782778,176560418726,39443137355,1511350484,549974790254,764369334350,5496918788,5078687887701,12774567961718,21629914175
- Nguyên giá222,101273338898,1170772380440,931200128838,473028537944,26605592005,296819162991,232930600999,101755802136,18607172518,26995006564,23578131054,49925570137,8603762079,89770500631,1339900245,11283575864,15107698108,28425894089,126762705590,30110171645,207313956699,124076090153,30666665527,768295145114,5798235364,489615842464,8702129445,402625026527,2094419806566,612419106725,1744076374,369130677361,49657111146,151831101256,981153128038,73558675656,4612522727,1364795811647,1724139502168,93846745702,13369037927616,24457733666511,151029555606
- Giá trị hao mòn lũy kế 223,-79606983197,-629340443940,-517944894345,-174298069505,-22739817581,-273795474597,-95188020414,-93344151986,-16427905745,-22260480892,-18678939692,-10525291008,-5285877913,-72647997340,-1200326789,-6475756261,-9185165660,-18535057394,-42957105010,-23251857055,-180367314582,-88180272056,-8619718472,-454315488917,-4864079680,-437690418860,-8450116273,-383771269076,-720988169587,-533903930299,-1529126357,-274176505324,-32438958170,-120981318478,-804592709312,-34115538301,-3101172243,-814821021393,-959770167818,-88349826914,-8290350039915,-11683165704793,-129399641431
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186557446801,,,,,,622369683,,,13513539364,,,,2042708364,
- Nguyên giá225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228700164137,,,,,,1572302368,,,22876854258,,,,5716034788,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42142717336,,,,,,-949932685,,,-9363314894,,,,-3673326424,
3. Tài sản cố định vô hình227,97976673,2893798807,604232107,71013656421,,268446890,65121892759,,,,,,25972225,,,19068000000,,44816434964,16218051934,,11079997129,,,1356180770,,1604799309,,4344884291,21853255177,568300439163,,103343533,16064422989,9807440095,61019143643,,,100165151603,3691832684,97821494,609506346687,2039520516122,2136070000
- Nguyên giá228,494700000,7341634545,1550263743,122747574869,97500000,1582960000,104368778862,,343738000,,,63000000,85000000,,30000000,19106721745,,56374580642,20132434934,,23754536045,,,42337241798,,2268828182,268580000,7003276109,60096304749,574634903793,278572525,110144000,18188747921,13508599455,86611158453,,,118268616087,6099698437,98000000,1253885721975,3656302027788,2266070000
- Giá trị hao mòn lũy kế 229,-396723327,-4447835738,-946031636,-51733918448,-97500000,-1314513110,-39246886103,,-343738000,,,-63000000,-59027775,,-30000000,-38721745,,-11558145678,-3914383000,,-12674538916,,,-40981061028,,-664028873,-268580000,-2658391818,-38243049572,-6334464630,-278572525,-6800467,-2124324932,-3701159360,-25592014810,,,-18103464484,-2407865753,-178506,-644379375288,-1616781511666,-130000000
III. Bất động sản đầu tư230,,,,152632721113,,,62967325925,,,,,,,,,21186274726,42749941118,10982545718,7963544042,3043189113,,,,,,,,864700000,,,160966065731,,54152908279,,10633468818,,57160127459,106788696185,,,,,
- Nguyên giá231,,,,301915307837,,,68934690108,,,,,,,,,22847263434,87244777643,13984236454,18171592354,12679954545,,,,,,,,864700000,,,176747658290,,71306332232,,31597726547,,59839461277,122172433422,,,,,
- Giá trị hao mòn lũy kế232,,,,-149282586724,,,-5967364183,,,,,,,,,-1660988708,-44494836525,-3001690736,-10208048312,-9636765432,,,,,,,,,,,-15781592559,,-17153423953,,-20964257729,,-2679333818,-15383737237,,,,,
IV. Tài sản dở dang dài hạn240,233010200,5173352475,450214313548,735268167727,25000000,,96455389025,608987079,,,,,,,,40266466962,,137466029788,216211864296,,5116165175,8468794681,,,7904258673,480078904,,32596776443,1032114108603,5700500,266076616685,4517399506,30000000,,19037929198,201394644636,51561298908,794862764019,90684855028,,389574246576,2559766724411,3088391355
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,994808848694,,266076616685,,,,,,,4627105857,,,,,
2. Chi phí xây dựng cơ bản dở dang242,233010200,5173352475,450214313548,735268167727,25000000,,96455389025,608987079,,,,,,,,40266466962,,137466029788,216211864296,,5116165175,8468794681,,,7904258673,480078904,,32596776443,37305259909,5700500,,4517399506,30000000,,19037929198,201394644636,51561298908,790235658162,90684855028,,389574246576,2559766724411,3088391355
V. Đầu tư tài chính dài hạn250,,,84040000,442902357570,,444721401977,142437098605,,4000000000,,,30991307515,,32012743298,48474799999,231146788190,21093696056,3000000000,108743512767,68123875353,71000000000,,,64626454734,459500700000,149822302,,13951800000,452503584219,18950739429,,,10237378320,,956333582627,,200239613267,359934009742,,,6200000000,3318095237260,43003000000
1. Đầu tư vào công ty con251,,,,,,,,,71116203358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,,417041140128,,447305948664,116937098605,,,,,28241307515,,32012743298,,,19881196056,,36947468422,68000000000,,,,11590390000,,,,,368242618772,5853508822,,,,,900093164779,,200039613267,290401798492,,,,2281222436752,
3. Đầu tư góp vốn vào đơn vị khác253,,,84040000,879012012,,5766336836,500000000,,,,,2750000000,,,48863324999,231146788190,1212500000,3000000000,77073000000,160000000,,,,9966200000,444500700000,149822302,,13951800000,80810027447,13769085107,,,17663000000,,59435569518,,200000000,69532211250,,3684980000,9684980000,3393737969842,30003000000
4. Dự phòng đầu tư tài chính dài hạn254,,,,-17794570,,-8350883523,,,-67116203358,,,,,,-388525000,,,,-5276955655,-36124647,,,,-12550390000,,,,,,-671854500,,,-7425621680,,-3195151670,,,,,-3684980000,-3684980000,-2357065169334,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,25000000000,,,25000000000,,,,,,,,,,,,,,71000000000,,,55620254734,15000000000,,,,3450938000,,,,,,,,,,,,200000000,200000000,13000000000
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,,15889019275,23492975014,545106949208,6105343733,1355364081,208390255526,210517587,,138870207,3997623713,9494913139,37618256,9252842843,,512385139,1375468909,,309778916731,96661149,11028032483,216025723,78851348,160505562286,96408405497,14179893354,4083333,964831542,148690152295,5048566134,9659526665,1277367823,941226050,1431217241,80735238198,63413726279,12229371488,466080040760,274903442936,44678607922,2401130064073,5438413518284,161208326
1. Chi phí trả trước dài hạn261,,15889019275,23492975014,323855292892,6105343733,1355364081,73879654097,210517587,,138870207,3997623713,9494913139,37618256,9252842843,,512385139,1341934369,,309032571278,,11028032483,216025723,78851348,138196114161,94640405497,14179893354,4083333,964831542,107592283816,5048566134,9642928565,1277367823,941226050,836147824,57825489496,143157464,12229371488,50457361563,265452341113,43766640115,2377253610814,3765187625417,161208326
2. Tài sản thuế thu nhập hoãn lại262,,,,103035545195,,,19319578100,,,,,,,,,,33534540,,746345453,96661149,,,,22309448125,1768000000,,,,3013713555,,16598100,,,595069417,,,,5213703667,9451101823,911967807,23876453259,575767686189,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,118216111121,,,115191023329,,,,,,,,,,,,,,,,,,,,,,38084154924,,,,,,22909748702,63270568815,,410408975530,,,,1097458206678,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,66933851443,804969978159,1065045931731,29183374176075,42538091224,1007102946503,15068518802220,124316673801,59088381800,78655473998,423965633248,196341626917,47874890321,315200845365,69536872887,423791208240,668414975850,1197632054484,1990032262954,243723525133,748773808076,66478143062,63557897489,1284187996713,4858702923298,422630092008,16205232423,631739686153,9706061959679,717715376885,821000271972,115799008731,181495947900,1497011011949,2730966375164,361271893813,1339407645527,7747808012890,3774888902983,979247955307,23768325325642,71999995678620,260404111841
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,12178932439,442284611227,695347207201,13981092894898,1236498337,145038921629,6752105974741,27552150980,66596830448,66868419386,368102066994,46947752744,13705980904,90803045624,876228551,32875212407,207905773199,826431263426,741349157279,163131724910,432619784698,27204730810,22599777729,335689501995,2046011586669,306446816066,2991206008,96703717478,6338037721040,656905366904,370257366520,94064382175,77517118277,1275182811773,1180037913725,105838386104,597374710598,1806932964486,1308985491015,165594185145,13122061089134,36272455573820,97731881186
I. Nợ ngắn hạn310,11937815595,90270739581,113403232859,10466308212838,1236498337,144988921629,6313080101657,27552150980,66596830448,66868419386,367918124994,37788818892,11374764410,85981042923,876228551,32834722407,206609094499,754910835313,650904888723,140746614855,432334012742,27204730810,22599777729,232635718734,1041400435843,298908785835,2991206008,96416717478,4808696076470,88922011904,59482753230,71314307818,71214749172,1274613279542,1112376718960,105838386104,509617066010,1366296163491,1297239673765,164656498931,13000283528216,34836184067740,97207698519
1. Phải trả người bán ngắn hạn311,96732402,7215090266,13849427992,728691315032,60846943,36488785626,290428139442,21683884377,16662475254,12404466087,284447725104,22571738283,7183831135,19087070273,17380000,522256800,32448056111,7515975279,443447980646,31602606533,184781015109,333514434,12291510937,42703524145,220938187922,144948579041,,77399978472,809023343592,26449018446,1918515417,550048630,19094315360,1124509495254,67245858315,4148073600,1300794622,108239994256,118099892333,19102983975,1541348647172,4423912840298,18367362562
2. Người mua trả tiền trước ngắn hạn312,482205401,240876695,57173626,1074123560540,18000000,2337569619,398368214022,31764800,16506355677,1570697444,17919714417,770827222,6829868,5873750723,,245488738,277773101,28694839749,117645831417,58342801336,709344669,1733024800,70000000,16898909483,650133233510,1916084919,37200,4964765788,722292929488,27809800,,14700000000,10382622641,18485880849,103804854109,,112248749803,23793973340,15133834791,38698862920,123277635732,562066755666,1746023439
3. Thuế và các khoản phải nộp Nhà nước313,853086630,5299429564,7638861456,575367634585,341294339,4913375845,177706254099,305121185,5362206093,1549282294,221580304,1301125638,687355174,3353343409,,483865320,7642520666,7107048431,27936519132,4648165460,17316912955,11167426,5941317594,2813430211,21568748426,5534130506,98430118,1282398560,361017162630,716767495,27968956,3044512727,2069705241,25007195922,13218694394,21952809,53724107163,79683392947,4195692239,10078361781,426358111164,2298821801748,1084980604
